liga,temporada,equipo,id,nombre,posicion,dorsal,Tackles Won,Straight Red Cards,Total Shots,Aerial Duels won,Successful Passes Opposition Half,Tackles Lost,Unsuccessful Short Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Goals Conceded Inside Box,Successful Passes Own Half,Successful Open Play Passes,Unsuccessful Launches,Unsuccessful Long Passes,Clean Sheets,Games Played,Total Clearances,Unsuccessful Crosses & Corners,Touches,Aerial Duels,Successful Crosses & Corners,Recoveries,Unsuccessful Crosses open play,Successful Crosses open play,Aerial Duels lost,Ground Duels won,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Total Tackles,Throw Ins to Opposition Player,Red Cards - 2nd Yellow,Foul Attempted Tackle,Ground Duels,Index,Shots Off Target (inc woodwork),Blocks,Duels lost,Ground Duels lost,Successful Short Passes,Total Fouls Won,Duels won,Rightside Passes,Duels,Successful Long Passes,PutThrough/Blocked Distribution,Penalties Conceded,Goals Conceded Outside Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Launches,Goals Conceded,Total Passes,Total Losses Of Possession,Substitute On,Total Fouls Conceded,Times Tackled,Total Touches In Opposition Box,Substitute Off,Interceptions,Appearances,Time Played,Backward Passes,Starts,Total Red Cards,Forward Passes,Throw Ins to Own Player,Leftside Passes,Unsuccessful Passes Own Half,Open Play Passes,Penalty Goals Conceded,Yellow Cards,Clearances Off the Line,Winning Goal,Through balls,Unsuccessful Corners into Box,Goals,Offsides,Right Foot Goals,Corners Taken (incl short corners),Shots On Target ( inc goals ),Attempts from Set Pieces,Goals from Inside Box,Successful Corners into Box,Blocked Shots,Successful Dribbles,Second Goal Assists,Handballs conceded,Goal Assists,Corners Won,Hit Woodwork,Assists (Intentional),Goals from Outside Box,Penalties Taken,Successful Lay-offs,Set Pieces Goals,Home Goals,Away Goals,Headed Goals,Unsuccessful lay-offs,Own Goal Scored,Left Foot Goals,GK Successful Distribution,Drops,Punches,Saves Made,GK Unsuccessful Distribution,Saves made - parried,Saves made - caught,Saves Made from Outside Box,Goal Kicks,Catches,Saves Made from Inside Box,Foul Won Penalty,Penalties Faced,Goalkeeper Smother,Penalty Goals,Saves from Penalty,Penalties Saved,Last Man Tackle,Crosses not Claimed,Penalties Off Target,Other Goals
USA_USL_League_One,2021,Fort Lauderdale CF,ay31zbgg1642dx463wmt6l0q1,G. Acosta,Midfielder,30,6.0,,33.0,2.0,479.0,13.0,108.0,33.0,175.0,144.0,26.0,297.0,733.0,4.0,36.0,2.0,21.0,2.0,48.0,1217.0,13.0,14.0,87.0,8.0,5.0,11.0,71.0,14.0,12.0,19.0,2.0,,10.0,149.0,10.0,22.0,,89.0,78.0,680.0,28.0,73.0,290.0,162.0,82.0,22.0,1.0,3.0,762.0,,29.0,906.0,280.0,3.0,23.0,31.0,21.0,8.0,8.0,21.0,1576.0,126.0,18.0,,277.0,5.0,213.0,17.0,864.0,3.0,4.0,,1.0,8.0,31.0,4.0,3.0,3.0,41.0,11.0,12.0,1.0,6.0,14.0,24.0,2.0,,7.0,7.0,1.0,6.0,3.0,,8.0,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Fort Lauderdale CF,3oqz86s2ngipsrb1jbb36buqy,N. Allen,Defender,32,34.0,,7.0,21.0,407.0,10.0,125.0,26.0,211.0,201.0,41.0,445.0,791.0,38.0,76.0,3.0,27.0,31.0,90.0,1647.0,54.0,20.0,137.0,63.0,4.0,33.0,84.0,20.0,15.0,44.0,20.0,,4.0,151.0,10.0,5.0,5.0,100.0,67.0,791.0,27.0,105.0,349.0,205.0,41.0,44.0,,7.0,832.0,5.0,48.0,1033.0,398.0,,23.0,32.0,22.0,,35.0,27.0,2430.0,263.0,27.0,,393.0,180.0,28.0,80.0,988.0,5.0,2.0,,0.0,,25.0,,5.0,,48.0,2.0,1.0,,15.0,3.0,14.0,1.0,1.0,2.0,22.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Fort Lauderdale CF,65jctzcct9irz3wre08c2v2wa,E. Azcona,Midfielder,28,8.0,,11.0,4.0,172.0,9.0,62.0,11.0,76.0,71.0,13.0,110.0,269.0,1.0,9.0,,12.0,1.0,14.0,553.0,13.0,1.0,30.0,13.0,1.0,9.0,64.0,22.0,5.0,17.0,1.0,1.0,12.0,147.0,10.0,5.0,1.0,92.0,83.0,263.0,17.0,68.0,114.0,160.0,18.0,19.0,,3.0,281.0,,16.0,352.0,152.0,2.0,18.0,45.0,21.0,7.0,3.0,12.0,818.0,79.0,10.0,1.0,98.0,3.0,61.0,9.0,340.0,3.0,2.0,,1.0,3.0,,3.0,2.0,1.0,1.0,6.0,,2.0,,6.0,30.0,,,1.0,7.0,,1.0,1.0,,6.0,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Fort Lauderdale CF,1ss7pdaxmlk0sijax5brwpkyy,L. Batiste,Defender,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Fort Lauderdale CF,ard35mwah43r1uzxsgrs14xzo,R. Beckham,Forward,11,5.0,,4.0,2.0,36.0,3.0,32.0,5.0,43.0,35.0,8.0,21.0,55.0,3.0,3.0,,6.0,1.0,20.0,162.0,5.0,2.0,19.0,20.0,2.0,3.0,11.0,3.0,4.0,8.0,,,5.0,34.0,10.0,3.0,,26.0,23.0,50.0,,13.0,5.0,39.0,5.0,10.0,,,55.0,1.0,8.0,90.0,75.0,1.0,7.0,9.0,3.0,4.0,2.0,6.0,384.0,19.0,5.0,,24.0,1.0,42.0,12.0,90.0,,1.0,,0.0,1.0,,,,,,1.0,1.0,,,,3.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Fort Lauderdale CF,2ii5p6glmk3m0in42odnvn7u2,J. Bucknor,Forward,36,2.0,,1.0,1.0,12.0,,2.0,1.0,6.0,2.0,,13.0,25.0,,,,3.0,3.0,4.0,52.0,4.0,,6.0,4.0,,3.0,5.0,2.0,1.0,2.0,,,1.0,12.0,10.0,1.0,,10.0,7.0,24.0,1.0,6.0,1.0,16.0,1.0,1.0,,,25.0,,,27.0,11.0,2.0,1.0,3.0,2.0,1.0,,3.0,91.0,7.0,1.0,,5.0,6.0,14.0,,27.0,,,,0.0,,,,,,,,,,,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Fort Lauderdale CF,29rxabx4plofa06zgwuxlejca,D. Callender,Goalkeeper,27,,,,8.0,21.0,1.0,5.0,1.0,87.0,134.0,29.0,435.0,320.0,47.0,129.0,2.0,17.0,14.0,,826.0,8.0,,180.0,,,,5.0,,,1.0,,,1.0,6.0,10.0,,,1.0,1.0,384.0,5.0,13.0,132.0,14.0,72.0,1.0,1.0,2.0,456.0,8.0,31.0,590.0,137.0,,1.0,,,,1.0,17.0,1530.0,,17.0,,253.0,,205.0,47.0,384.0,4.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,2.0,6.0,57.0,34.0,12.0,4.0,31.0,147.0,19.0,25.0,,5.0,5.0,,1.0,1.0,,2.0,,
USA_USL_League_One,2021,Fort Lauderdale CF,a0r2fx204amflk1vjf5evgx2i,A. Caputo,Forward,29,10.0,,4.0,4.0,194.0,13.0,54.0,9.0,47.0,65.0,25.0,201.0,385.0,5.0,11.0,,21.0,9.0,4.0,619.0,13.0,2.0,67.0,3.0,1.0,9.0,40.0,9.0,9.0,23.0,,,10.0,94.0,10.0,3.0,3.0,63.0,54.0,361.0,13.0,44.0,127.0,107.0,32.0,21.0,,3.0,393.0,,28.0,458.0,108.0,7.0,21.0,16.0,13.0,9.0,23.0,21.0,1143.0,103.0,14.0,,114.0,1.0,114.0,22.0,450.0,2.0,2.0,,0.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,4.0,,1.0,,2.0,,,,,5.0,,1.0,0.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
USA_USL_League_One,2021,Fort Lauderdale CF,31lce55kff3nwd9293h3ii191,D. Castanheira,Goalkeeper,18,,,,1.0,7.0,,1.0,,8.0,19.0,3.0,85.0,60.0,7.0,18.0,,2.0,1.0,,136.0,2.0,,14.0,,,1.0,,1.0,,,,,,1.0,10.0,,,2.0,1.0,72.0,,1.0,31.0,3.0,20.0,,,,92.0,4.0,3.0,111.0,22.0,,,1.0,,,,2.0,180.0,,2.0,,52.0,,28.0,11.0,72.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,1.0,12.0,4.0,5.0,,4.0,30.0,2.0,8.0,,1.0,,,,,,1.0,,
USA_USL_League_One,2021,Fort Lauderdale CF,9n4dakrt5fub395j3b2tkhm5m,C. Cuellar,Midfielder,33,1.0,,,,11.0,1.0,4.0,2.0,5.0,7.0,1.0,2.0,11.0,2.0,3.0,,3.0,1.0,,34.0,6.0,2.0,4.0,,2.0,6.0,2.0,1.0,3.0,2.0,,,,6.0,10.0,,,10.0,4.0,11.0,,2.0,6.0,12.0,,4.0,,,11.0,,1.0,18.0,12.0,3.0,,2.0,2.0,,,3.0,63.0,2.0,,,8.0,,2.0,2.0,18.0,,,,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
