liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Launches,Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Set Pieces Goals,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Substitute On,Successful Lay-offs,Shots Off Target (inc woodwork),Foul Attempted Tackle,Blocks,Goal Assists,Through balls,Unsuccessful lay-offs,Saves Made,GK Successful Distribution,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Right Foot Goals,Penalties Off Target,Foul Won Penalty,Hit Woodwork,Assists (Intentional),Goals from Inside Box,Penalties Taken,Penalty Goals,Clean Sheets,Drops,Penalties Faced,Penalties Conceded,Own Goal Scored,Total Red Cards,Red Cards - 2nd Yellow,Headed Goals,Clearances Off the Line,Straight Red Cards,Second Goal Assists,Penalty Goals Conceded,Other Goals,Crosses not Claimed,Penalties Saved,Saves from Penalty,Last Man Tackle,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks
USA_USL_Championship,2018,Philadelphia Union II,8rrcscn29rs1gk8mi1pwpu92i,B. Aaronson,Midfielder,63,7.0,2.0,1053.0,3.0,,1.0,366.0,8.0,117.0,2.0,202.0,4.0,,17.0,11.0,4.0,26.0,205.0,74.0,13.0,,96.0,387.0,12.0,12.0,9.0,268.0,8.0,15.0,113.0,1.0,81.0,10.0,102.0,8.0,,44.0,13.0,23.0,20.0,599.0,21.0,18.0,88.0,,109.0,50.0,10.0,45.0,7.0,,6.0,2.0,14.0,12.0,18.0,126.0,7.0,12.0,1.0,9.0,18.0,2.0,2.0,55.0,80.0,253.0,274.0,38.0,6.0,81.0,7.0,9.0,33.0,5.0,19.0,8.0,4.0,,5.0,6.0,5.0,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Philadelphia Union II,f07dkt0q5fpiw8c1rkuedrx05,B. Allen,Forward,40,9.0,17.0,1521.0,5.0,1.0,10.0,302.0,9.0,120.0,2.0,185.0,,1.0,1.0,7.0,3.0,76.0,129.0,86.0,10.0,,61.0,331.0,8.0,18.0,6.0,259.0,17.0,33.0,62.0,,63.0,10.0,59.0,12.0,,34.0,15.0,14.0,12.0,518.0,,29.0,79.0,1.0,45.0,68.0,10.0,58.0,20.0,1.0,10.0,2.0,25.0,23.0,6.0,178.0,1.0,20.0,9.0,9.0,29.0,,2.0,44.0,103.0,241.0,269.0,99.0,5.0,120.0,5.0,2.0,35.0,14.0,50.0,13.0,4.0,1.0,2.0,,8.0,,,,,,,,,,,1.0,,,1.0,2.0,9.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Philadelphia Union II,dxfxrbvl0452fu9o033carm22,A. Apodaca,Forward,42,3.0,8.0,752.0,2.0,,2.0,110.0,8.0,45.0,,65.0,,,,,,29.0,77.0,23.0,8.0,,28.0,116.0,6.0,8.0,6.0,84.0,9.0,16.0,28.0,,24.0,7.0,27.0,4.0,,13.0,7.0,5.0,4.0,221.0,,17.0,39.0,,22.0,47.0,10.0,25.0,9.0,,4.0,,5.0,7.0,7.0,75.0,,9.0,1.0,3.0,17.0,,2.0,21.0,25.0,82.0,88.0,36.0,7.0,50.0,1.0,1.0,18.0,10.0,11.0,7.0,3.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Philadelphia Union II,c1kblaxkcyrzeybhwirtot9ex,B. Aubrey,Defender,44,,1.0,2346.0,2.0,25.0,,1156.0,2.0,42.0,1.0,283.0,71.0,7.0,161.0,7.0,6.0,39.0,335.0,591.0,28.0,,146.0,1180.0,,29.0,9.0,748.0,30.0,6.0,307.0,,337.0,12.0,197.0,1.0,,134.0,27.0,10.0,110.0,1526.0,,28.0,111.0,,605.0,21.0,10.0,144.0,,2.0,125.0,1.0,27.0,83.0,3.0,233.0,125.0,36.0,,,28.0,,,50.0,196.0,853.0,873.0,122.0,14.0,89.0,14.0,65.0,61.0,1.0,1.0,6.0,15.0,30.0,,1.0,,,,,,,,,,,,,,,,,,,,6.0,,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,
USA_USL_Championship,2018,Philadelphia Union II,azux16bldhwiz53oze4zyzb3d,E. Ayuk,Forward,30,9.0,1.0,294.0,23.0,,1.0,138.0,6.0,24.0,2.0,67.0,7.0,1.0,10.0,1.0,1.0,7.0,64.0,41.0,12.0,,23.0,139.0,1.0,9.0,8.0,104.0,3.0,2.0,33.0,,16.0,3.0,34.0,1.0,2.0,24.0,3.0,6.0,8.0,243.0,1.0,4.0,43.0,,63.0,7.0,10.0,30.0,2.0,,2.0,2.0,5.0,5.0,7.0,55.0,4.0,4.0,,9.0,4.0,,,18.0,36.0,105.0,106.0,12.0,7.0,25.0,5.0,11.0,25.0,1.0,2.0,,4.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Philadelphia Union II,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,Forward,0,1.0,1.0,329.0,3.0,,2.0,49.0,3.0,19.0,1.0,28.0,,1.0,1.0,4.0,,11.0,45.0,12.0,6.0,,17.0,57.0,2.0,7.0,5.0,38.0,4.0,10.0,18.0,,11.0,1.0,15.0,,,5.0,4.0,5.0,4.0,133.0,,4.0,36.0,,14.0,14.0,10.0,34.0,5.0,,1.0,1.0,8.0,17.0,3.0,64.0,3.0,4.0,1.0,1.0,4.0,,2.0,19.0,13.0,32.0,39.0,28.0,5.0,30.0,1.0,,17.0,,3.0,5.0,3.0,3.0,2.0,,,,,,,,,,,,,1.0,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Philadelphia Union II,5genu1iwvm9az3agen0vg2u3t,M. Catalano,Midfielder,41,,,256.0,3.0,2.0,,159.0,1.0,24.0,,58.0,2.0,,8.0,4.0,,5.0,44.0,67.0,7.0,,28.0,161.0,1.0,4.0,5.0,109.0,7.0,3.0,36.0,,43.0,2.0,31.0,2.0,,28.0,2.0,8.0,5.0,212.0,,10.0,22.0,,60.0,4.0,10.0,21.0,,,16.0,,1.0,8.0,3.0,35.0,5.0,7.0,,,10.0,,1.0,9.0,34.0,123.0,125.0,13.0,6.0,14.0,1.0,8.0,13.0,8.0,5.0,3.0,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Philadelphia Union II,80z4ohi5co0ttnwardz2h2311,J. Chambers,Midfielder,45,10.0,4.0,2575.0,7.0,8.0,5.0,1709.0,8.0,218.0,5.0,776.0,47.0,7.0,161.0,14.0,7.0,36.0,429.0,757.0,45.0,1.0,205.0,1894.0,3.0,40.0,5.0,1292.0,29.0,36.0,366.0,2.0,490.0,31.0,292.0,8.0,,231.0,29.0,27.0,87.0,2234.0,4.0,29.0,167.0,1.0,766.0,16.0,10.0,122.0,18.0,12.0,236.0,3.0,35.0,39.0,4.0,242.0,37.0,36.0,,13.0,29.0,,3.0,84.0,420.0,1357.0,1528.0,75.0,27.0,120.0,18.0,34.0,83.0,,32.0,18.0,20.0,14.0,1.0,4.0,1.0,,,,,,,,,,,5.0,,,1.0,,4.0,2.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2018,Philadelphia Union II,60lkp6cjrncznji86pl87hp7t,P. Chiluya,Defender,43,26.0,,1355.0,123.0,8.0,1.0,590.0,4.0,90.0,6.0,265.0,29.0,3.0,62.0,14.0,3.0,33.0,274.0,173.0,48.0,,109.0,603.0,1.0,24.0,9.0,401.0,18.0,7.0,171.0,,172.0,14.0,153.0,1.0,22.0,89.0,14.0,36.0,51.0,1041.0,11.0,16.0,133.0,1.0,302.0,8.0,10.0,86.0,1.0,,31.0,6.0,15.0,15.0,11.0,181.0,48.0,21.0,1.0,33.0,16.0,7.0,,62.0,39.0,421.0,432.0,48.0,29.0,95.0,19.0,37.0,71.0,2.0,2.0,6.0,19.0,6.0,2.0,3.0,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,
USA_USL_Championship,2018,Philadelphia Union II,b4e6lsrz4cmr2q50235620qnd,J. Elliott,Defender,3,,,90.0,,1.0,,35.0,,3.0,,8.0,6.0,,10.0,1.0,,3.0,16.0,15.0,,,3.0,36.0,,2.0,,17.0,2.0,1.0,13.0,,9.0,1.0,7.0,,,8.0,1.0,4.0,6.0,54.0,,1.0,4.0,,17.0,5.0,10.0,2.0,,,6.0,,,2.0,2.0,9.0,6.0,2.0,,,1.0,,,4.0,7.0,22.0,23.0,5.0,,7.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
