liga,temporada,equipo,id,nombre,posicion,dorsal,Total Fouls Conceded,Duels,Unsuccessful Crosses & Corners,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,PutThrough/Blocked Distribution,Open Play Passes,Unsuccessful Crosses open play,Offsides,Aerial Duels won,Fifty Fifty,Unsuccessful Passes Opposition Half,Leftside Passes,Games Played,GK Unsuccessful Distribution,Successful Long Passes,GK Successful Distribution,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Ground Duels,Interceptions,Time Played,Total Touches In Opposition Box,Total Clearances,Rightside Passes,Handballs conceded,Unsuccessful Short Passes,Touches,Backward Passes,Yellow Cards,Total Fouls Won,Duels lost,Total Tackles,Forward Passes,Substitute On,Total Shots,Successful Open Play Passes,Goals Conceded Inside Box,Clean Sheets,Successful Passes Opposition Half,Appearances,Total Passes,Ground Duels won,Corners Won,Tackles Won,Goals Conceded,Unsuccessful Launches,Successful Launches,PutThrough/Blocked Distribution Won,Aerial Duels lost,Foul Attempted Tackle,Times Tackled,Throw Ins to Opposition Player,Index,Successful Fifty Fifty,Aerial Duels,Successful Short Passes,Penalty Goals Conceded,Starts,Recoveries,Blocks,Ground Duels lost,Goals Conceded Outside Box,Unsuccessful Long Passes,Blocked Shots,Substitute Off,Penalties Conceded,Goal Kicks,Key Passes (Attempt Assists),Duels won,Unsuccessful Passes Own Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Winning Goal,Successful Crosses & Corners,Penalty Goals,Corners Taken (incl short corners),Unsuccessful Corners into Box,Hit Woodwork,Right Foot Goals,Set Pieces Goals,Penalties Off Target,Through balls,Successful Dribbles,Successful Crosses open play,Second Goal Assists,Shots On Target ( inc goals ),Assists (Intentional),Successful Corners into Box,Unsuccessful Dribbles,Total Red Cards,Unsuccessful lay-offs,Penalties Taken,Goals from Inside Box,Goal Assists,Attempts from Set Pieces,Successful Lay-offs,Goals,Red Cards - 2nd Yellow,Overruns,Goals from Outside Box,Home Goals,Away Goals,Left Foot Goals,Headed Goals,Saves Made from Inside Box,Saves made - parried,Goalkeeper Smother,Saves Made,Saves Made from Outside Box,Straight Red Cards,Penalties Faced,Drops,Catches,Punches,Last Man Tackle,Own Goal Scored,Foul Won Penalty,Clearances Off the Line,Saves made - caught,Crosses not Claimed,Last Player Tackle,Other Goals,Saves from Penalty,Penalties Saved
USA_MLS,2023,Club de Foot Montréal,7pcn6i4j0hfmtfet2isnsieax,L. Lappalainen,Midfielder,21,6.0,112.0,11.0,250.0,33.0,30.0,315.0,11.0,5.0,7.0,18.0,69.0,44.0,21.0,,9.0,,7.0,155.0,85.0,95.0,8.0,1034.0,42.0,6.0,126.0,,61.0,559.0,84.0,,8.0,61.0,19.0,67.0,8.0,11.0,244.0,18.0,,166.0,21.0,321.0,44.0,6.0,14.0,23.0,4.0,,17.0,10.0,5.0,30.0,6.0,51.0,6.0,17.0,241.0,1.0,13.0,58.0,,51.0,5.0,10.0,7.0,12.0,,,10.0,51.0,13.0,5.0,71.0,1.0,1.0,,2.0,,1.0,2.0,,,1.0,17.0,1.0,,4.0,2.0,,16.0,,,,2.0,3.0,,1.0,2.0,,4.0,,2.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,
USA_MLS,2023,Club de Foot Montréal,206pq3zqgobudaa5dfy93psr9,A. Lassiter,Forward,11,18.0,102.0,74.0,436.0,57.0,35.0,543.0,61.0,8.0,1.0,15.0,161.0,58.0,32.0,,22.0,,12.0,262.0,177.0,93.0,14.0,1743.0,51.0,9.0,217.0,,97.0,936.0,150.0,3.0,22.0,52.0,10.0,131.0,15.0,31.0,426.0,14.0,3.0,281.0,32.0,556.0,49.0,28.0,9.0,17.0,11.0,,10.0,8.0,3.0,19.0,5.0,50.0,5.0,9.0,414.0,,17.0,86.0,1.0,44.0,3.0,23.0,11.0,11.0,,,17.0,50.0,33.0,1.0,120.0,0.0,22.0,,12.0,8.0,3.0,,,1.0,,17.0,17.0,,19.0,2.0,,15.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,9.0,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,64fm58x6dn9dw1mu4tuvejcyy,M. Miljevic,Midfielder,8,4.0,27.0,11.0,48.0,,4.0,65.0,4.0,,1.0,1.0,27.0,18.0,8.0,,6.0,,2.0,43.0,18.0,22.0,1.0,124.0,6.0,,18.0,,15.0,114.0,13.0,2.0,3.0,18.0,2.0,17.0,8.0,3.0,47.0,,,34.0,8.0,66.0,8.0,1.0,1.0,1.0,1.0,,,4.0,3.0,7.0,,78.0,,5.0,42.0,,,18.0,,14.0,1.0,3.0,3.0,,,,,9.0,2.0,1.0,18.0,0.0,4.0,,7.0,5.0,,,,,,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,d874x8snmm3ebewbv05onbzs9,K. Miller,Defender,3,12.0,150.0,4.0,1406.0,27.0,24.0,1553.0,4.0,1.0,24.0,20.0,107.0,227.0,28.0,,123.0,1.0,2.0,233.0,914.0,103.0,31.0,2322.0,13.0,70.0,605.0,,115.0,1900.0,90.0,4.0,16.0,62.0,32.0,674.0,1.0,2.0,1367.0,39.0,3.0,493.0,28.0,1596.0,64.0,1.0,24.0,45.0,22.0,9.0,9.0,23.0,5.0,13.0,5.0,10.0,13.0,47.0,1283.0,1.0,27.0,174.0,13.0,39.0,6.0,75.0,,4.0,,1.0,8.0,88.0,87.0,8.0,190.0,0.0,1.0,,,,1.0,,,,1.0,18.0,1.0,,,,,5.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,55uupregn272wdtpnundb8z1m,C. Offor,Forward,9,40.0,286.0,5.0,202.0,4.0,24.0,310.0,5.0,11.0,72.0,45.0,109.0,84.0,30.0,,2.0,,19.0,276.0,72.0,146.0,2.0,1503.0,75.0,18.0,71.0,8.0,118.0,651.0,111.0,3.0,28.0,160.0,9.0,59.0,16.0,34.0,188.0,20.0,3.0,131.0,30.0,325.0,54.0,8.0,6.0,24.0,1.0,,10.0,68.0,10.0,52.0,1.0,22.0,20.0,140.0,200.0,2.0,14.0,46.0,2.0,92.0,4.0,5.0,3.0,7.0,,,11.0,126.0,19.0,3.0,123.0,1.0,1.0,,,,1.0,3.0,,,1.0,20.0,1.0,,15.0,,,31.0,,6.0,,4.0,,,18.0,4.0,,6.0,,4.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,a4628r4lcbkmv2ax3r69q7rpw,K. Opoku,Forward,90,27.0,291.0,11.0,410.0,6.0,34.0,488.0,10.0,9.0,9.0,31.0,84.0,177.0,31.0,,15.0,,20.0,271.0,108.0,244.0,7.0,2119.0,95.0,7.0,91.0,2.0,81.0,922.0,138.0,1.0,47.0,167.0,19.0,99.0,6.0,39.0,393.0,22.0,3.0,303.0,31.0,505.0,115.0,26.0,11.0,31.0,4.0,1.0,15.0,38.0,15.0,86.0,,60.0,13.0,47.0,395.0,3.0,25.0,83.0,2.0,129.0,9.0,14.0,14.0,17.0,,,23.0,124.0,22.0,8.0,95.0,2.0,1.0,,4.0,1.0,,1.0,,,3.0,49.0,,,19.0,2.0,1.0,48.0,1.0,1.0,,4.0,3.0,,8.0,6.0,,6.0,2.0,5.0,1.0,5.0,,,,,,,1.0,,,,,,,1.0,,,,,,,
USA_MLS,2023,Club de Foot Montréal,7yablvquk5wpfy1hrwjoknj6d,J. Pantemis,Goalkeeper,41,,1.0,,43.0,,,31.0,,,1.0,,5.0,3.0,2.0,2.0,4.0,26.0,,12.0,41.0,,,173.0,,5.0,20.0,,2.0,78.0,,,,,,32.0,,,22.0,3.0,,2.0,2.0,55.0,,,,5.0,2.0,1.0,,,,,,10.0,,1.0,39.0,,2.0,15.0,,,2.0,10.0,,1.0,,19.0,,1.0,7.0,,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,8.0,5.0,,,,,3.0,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,6q37ge46z8a2zlsvqvpdjha6t,S. Piette,Midfielder,6,14.0,100.0,1.0,509.0,3.0,15.0,566.0,1.0,,7.0,4.0,44.0,179.0,16.0,,41.0,,1.0,86.0,285.0,77.0,11.0,1098.0,6.0,16.0,132.0,1.0,55.0,708.0,102.0,3.0,11.0,49.0,27.0,167.0,2.0,1.0,497.0,17.0,2.0,224.0,16.0,580.0,44.0,,18.0,21.0,7.0,4.0,8.0,16.0,9.0,4.0,,27.0,4.0,23.0,468.0,2.0,14.0,98.0,4.0,33.0,4.0,16.0,1.0,7.0,,,7.0,51.0,28.0,9.0,71.0,0.0,,,,,,,,,1.0,6.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA_MLS,2023,Club de Foot Montréal,epusm8fpwyc40s5y1bu6e7w7p,R. Quioto,Forward,30,6.0,84.0,24.0,157.0,3.0,8.0,188.0,18.0,7.0,13.0,10.0,60.0,31.0,13.0,,11.0,,10.0,102.0,51.0,48.0,,796.0,44.0,7.0,60.0,1.0,39.0,339.0,66.0,2.0,10.0,48.0,5.0,42.0,3.0,19.0,147.0,10.0,,111.0,13.0,199.0,23.0,5.0,2.0,13.0,,,1.0,23.0,1.0,17.0,,65.0,3.0,36.0,146.0,2.0,10.0,11.0,1.0,25.0,3.0,3.0,3.0,5.0,,,6.0,36.0,6.0,3.0,42.0,1.0,5.0,1.0,7.0,5.0,,2.0,,,1.0,10.0,5.0,,9.0,,,10.0,,,1.0,3.0,1.0,1.0,9.0,3.0,,2.0,,3.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Club de Foot Montréal,4le816q3ac1isre8sala3iwyy,S. Rea,Midfielder,27,6.0,64.0,19.0,180.0,,18.0,222.0,17.0,1.0,,27.0,55.0,57.0,15.0,,3.0,,1.0,120.0,61.0,61.0,2.0,744.0,11.0,,55.0,,45.0,347.0,59.0,2.0,5.0,46.0,5.0,59.0,8.0,3.0,172.0,12.0,,126.0,15.0,230.0,18.0,7.0,3.0,14.0,2.0,,7.0,3.0,3.0,33.0,,22.0,12.0,3.0,177.0,,7.0,34.0,,43.0,2.0,5.0,2.0,6.0,,,11.0,18.0,14.0,2.0,50.0,0.0,7.0,,10.0,2.0,,,,,,8.0,2.0,2.0,2.0,,5.0,14.0,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
