liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Forward Passes,Foul Attempted Tackle,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Leftside Passes,Offsides,Open Play Passes,Overruns,Penalties Taken,Penalty Goals,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots On Target ( inc goals ),Substitute On,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Won,Throw Ins to Opposition Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Blocked Shots,Blocks,Corners Won,Final Third Touches,Goals Conceded Outside Box,Goals Openplay,Handballs conceded,Hit Woodwork,Key Passes (Attempt Assists),Penalty Goals Conceded,Shots Off Target (inc woodwork),Starts,Straight Red Cards,Substitute Off,Throw Ins to Own Player,Total Big Chances Missed,Total Fouls Won,Total Red Cards,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Passes Own Half,Clean Sheets,Clearances Off the Line,Interceptions,Successful Launches,Tackles Lost,Unsuccessful lay-offs,Assists (Intentional),Corners Taken (incl short corners),Foul Won Penalty,Goal Assists,Second Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Unsuccessful Corners into Box,Attempts from Set Pieces,Direct Setpiece Goals,Goals from Outside Box,Set Pieces Goals,Successful Corners into Box,Through balls,GK Successful Distribution,Goal Kicks,Left Foot Goals,Headed Goals,Penalties Conceded,Total Big Chances Saved,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Own Goal Scored,Last Player Tackle,Red Cards - 2nd Yellow,Crosses not Claimed,Penalties Off Target,Direct Corner Goals
USA_USL_League_One,2025,Spokane Velocity FC,3a51d0tbktq371fa6dxvsgk8a,M. Akale,Forward,7,21.0,16.0,5.0,25.0,68.0,137.0,123.0,72.0,51.0,58.0,6.0,25.0,,9.0,8.0,,102.0,56.0,46.0,10.0,20.0,,235.0,1.0,,,78.0,14.0,7.0,44.0,,90.0,2.0,19.0,13.0,6.0,4.0,184.0,124.0,65.0,181.0,14.0,,805.0,29.0,,7.0,17.0,116.0,236.0,6.0,185.0,16.0,28.0,51.0,407.0,14.0,13.0,51.0,38.0,1.0,,,0.0,8.0,,7.0,42.0,1.0,,,,10.0,,4.0,6.0,,3.0,4.0,1.0,18.0,,9.0,9.0,8.0,9.0,1.0,,7.0,1.0,2.0,,1.0,1.0,,1.0,,4.0,4.0,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Spokane Velocity FC,c2tmm1kt6qyna4650kfy4bpm2,R. Bilichuk,Goalkeeper,1,,,,1.0,,3.0,,,,13.0,,1.0,,2.0,1.0,,,,,10.0,15.0,,18.0,,,,,,,2.0,,7.0,,,,,2.0,15.0,1.0,24.0,23.0,,,90.0,,,,,10.0,35.0,,25.0,,,10.0,38.0,,9.0,7.0,1.0,,,,0.0,,,,,1.0,,,,,,,1.0,,,,,,,,,5.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,10.0,12.0,,,,,,,3.0,,,,,1.0,1.0,,,,1.0,,,,,,
USA_USL_League_One,2025,Spokane Velocity FC,cn8fovjei9tdslashum11dp05,N. Brett,Forward,9,45.0,31.0,14.0,28.0,67.0,51.0,108.0,64.0,44.0,44.0,6.0,28.0,5.0,19.0,13.0,4.0,63.0,33.0,30.0,10.0,41.0,9.0,211.0,,1.0,,17.0,13.0,3.0,30.0,2.0,65.0,17.0,13.0,5.0,14.0,7.0,156.0,106.0,58.0,155.0,7.0,,1325.0,8.0,4.0,7.0,21.0,102.0,217.0,28.0,162.0,9.0,68.0,55.0,370.0,3.0,10.0,46.0,45.0,1.0,1.0,4.0,1.0,7.0,1.0,10.0,109.0,6.0,5.0,1.0,1.0,10.0,4.0,11.0,15.0,,11.0,3.0,9.0,16.0,,6.0,6.0,5.0,15.0,,,4.0,1.0,2.0,5.0,1.0,,1.0,1.0,,2.0,2.0,4.0,,,,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Spokane Velocity FC,1kvjc217588h0ws1xccocijt,J. Crisler,Defender,3,60.0,18.0,42.0,14.0,13.0,84.0,95.0,36.0,59.0,141.0,4.0,14.0,2.0,17.0,11.0,2.0,35.0,18.0,17.0,10.0,130.0,,418.0,,,,40.0,,,17.0,1.0,159.0,3.0,5.0,,,39.0,350.0,93.0,277.0,331.0,1.0,,901.0,3.0,,85.0,11.0,81.0,443.0,7.0,370.0,8.0,24.0,73.0,598.0,1.0,37.0,52.0,36.0,1.0,1.0,1.0,2.0,3.0,9.0,,30.0,6.0,,,,2.0,2.0,4.0,9.0,,2.0,3.0,,9.0,,,,18.0,21.0,1.0,,6.0,7.0,7.0,,,,,,,,,,,,,,,,,11.0,11.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Spokane Velocity FC,aebqqrjc0mtfbolzy8y8olk2x,J. Denton,Midfielder,19,6.0,5.0,1.0,19.0,110.0,178.0,111.0,47.0,64.0,108.0,12.0,19.0,1.0,14.0,8.0,1.0,105.0,42.0,63.0,10.0,133.0,,535.0,,,,86.0,16.0,12.0,61.0,1.0,201.0,1.0,10.0,10.0,12.0,38.0,487.0,239.0,265.0,466.0,29.0,,888.0,19.0,,6.0,15.0,86.0,552.0,3.0,504.0,40.0,12.0,48.0,706.0,8.0,12.0,37.0,36.0,2.0,0.0,1.0,0.0,3.0,1.0,,42.0,6.0,1.0,,,7.0,2.0,2.0,9.0,,8.0,1.0,,13.0,,5.0,3.0,1.0,16.0,,,11.0,2.0,11.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Spokane Velocity FC,bmlit85nr640d79etfmjroqtx,C. Fernández,Midfielder,6,30.0,14.0,16.0,25.0,129.0,199.0,175.0,79.0,96.0,257.0,16.0,25.0,,15.0,11.0,,145.0,65.0,80.0,10.0,181.0,,840.0,,,,93.0,23.0,14.0,90.0,,300.0,2.0,7.0,11.0,12.0,68.0,733.0,361.0,400.0,691.0,25.0,,1621.0,19.0,,29.0,28.0,144.0,867.0,6.0,759.0,45.0,2.0,108.0,1083.0,7.0,39.0,74.0,69.0,6.0,,,0.0,6.0,4.0,3.0,34.0,4.0,,,,5.0,1.0,4.0,18.0,,11.0,,,25.0,,2.0,2.0,13.0,36.0,5.0,,16.0,4.0,20.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Spokane Velocity FC,bh3an1jmbqxwmf2a41u9p4ftg,David García,Defender,4,160.0,49.0,111.0,30.0,66.0,425.0,242.0,86.0,156.0,643.0,6.0,30.0,1.0,32.0,23.0,1.0,82.0,37.0,45.0,10.0,603.0,1.0,1431.0,,1.0,,276.0,33.0,14.0,77.0,,187.0,5.0,2.0,3.0,,165.0,1174.0,448.0,782.0,1062.0,18.0,,2541.0,5.0,1.0,225.0,28.0,293.0,1499.0,12.0,1227.0,24.0,43.0,272.0,1915.0,2.0,154.0,197.0,118.0,5.0,1.0,0.0,1.0,8.0,22.0,10.0,44.0,9.0,,1.0,,6.0,4.0,7.0,28.0,,1.0,6.0,1.0,20.0,,2.0,2.0,66.0,77.0,9.0,1.0,17.0,14.0,6.0,,,,,1.0,,3.0,3.0,3.0,,,,,,,1.0,4.0,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Spokane Velocity FC,4zk384iwrvinp38k34hc10q1h,M. Hernández,Midfielder,14,9.0,5.0,4.0,9.0,10.0,13.0,24.0,14.0,10.0,11.0,3.0,9.0,1.0,3.0,2.0,,15.0,9.0,6.0,10.0,11.0,2.0,41.0,1.0,,,4.0,3.0,2.0,2.0,1.0,9.0,2.0,8.0,1.0,2.0,,29.0,21.0,10.0,29.0,3.0,,173.0,4.0,1.0,1.0,3.0,29.0,41.0,5.0,29.0,4.0,4.0,12.0,80.0,2.0,5.0,14.0,7.0,1.0,0.0,1.0,0.0,,,1.0,25.0,1.0,1.0,,,1.0,,3.0,1.0,,1.0,1.0,,1.0,,5.0,5.0,4.0,3.0,,,,,1.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Spokane Velocity FC,21aiz5l5hzm13jtpzqqketjis,Javier Martín Gil,Defender,2,27.0,18.0,9.0,20.0,78.0,125.0,91.0,49.0,42.0,106.0,3.0,20.0,,11.0,8.0,,64.0,31.0,33.0,10.0,143.0,2.0,332.0,,,,76.0,16.0,7.0,31.0,,13.0,1.0,14.0,4.0,1.0,18.0,250.0,136.0,130.0,239.0,14.0,19.0,803.0,23.0,,26.0,5.0,158.0,340.0,3.0,257.0,19.0,24.0,83.0,602.0,11.0,32.0,78.0,51.0,1.0,,,0.0,,1.0,7.0,71.0,3.0,,,,10.0,,2.0,6.0,,2.0,74.0,1.0,10.0,,19.0,19.0,18.0,24.0,2.0,,9.0,1.0,5.0,,2.0,,,2.0,,9.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Spokane Velocity FC,3e4gkylxcdo34rieonozdqr4l,S. John-Brown,Forward,17,65.0,39.0,26.0,25.0,153.0,213.0,220.0,113.0,107.0,160.0,14.0,25.0,3.0,26.0,18.0,2.0,155.0,74.0,81.0,10.0,218.0,4.0,642.0,4.0,,,95.0,35.0,24.0,85.0,2.0,117.0,5.0,3.0,26.0,15.0,24.0,502.0,344.0,167.0,483.0,15.0,2.0,1859.0,44.0,3.0,27.0,16.0,276.0,648.0,15.0,507.0,24.0,55.0,141.0,1026.0,17.0,23.0,141.0,118.0,3.0,2.0,1.0,1.0,4.0,3.0,12.0,236.0,8.0,2.0,,1.0,31.0,4.0,10.0,22.0,,14.0,14.0,3.0,32.0,,35.0,34.0,6.0,35.0,2.0,,17.0,,9.0,1.0,2.0,1.0,,3.0,,4.0,4.0,7.0,1.0,,,1.0,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
