liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Goals Conceded Inside Box,Starts,Appearances,Index,Goals Conceded,Games Played,Substitute Off,Yellow Cards,Substitute On,Goals,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Open Play Passes,Successful Passes Opposition Half,Aerial Duels lost,Total Passes,Touches,Total Touches In Opposition Box,Successful Long Passes,Duels,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Duels lost,Saves Made,GK Successful Distribution,Unsuccessful Launches,Unsuccessful Long Passes,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Successful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Unsuccessful Passes Own Half,Catches,Forward Passes,Saves Made from Outside Box,Saves made - parried,Total Clearances,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Throw Ins to Own Player,Backward Passes,Interceptions,Penalties Conceded,Successful Launches,Corners Won,Total Tackles,Total Fouls Conceded,Foul Attempted Tackle,Ground Duels,Duels won,Total Fouls Won,Aerial Duels won,Ground Duels lost,Tackles Won,Ground Duels won,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Tackles Lost,PutThrough/Blocked Distribution,Blocks,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Total Shots,Handballs conceded,Successful Crosses & Corners,Successful Corners into Box,Blocked Shots,Corners Taken (incl short corners),Shots On Target ( inc goals ),Unsuccessful Corners into Box,Attempts from Set Pieces,Successful Crosses open play,Successful Dribbles,Throw Ins to Opposition Player,Successful Lay-offs,Right Foot Goals,Unsuccessful Dribbles,Goals from Inside Box,Penalties Taken,Penalty Goals,Hit Woodwork,Foul Won Penalty,Offsides,Through balls,Goals Conceded Outside Box,Assists (Intentional),Goal Assists,Unsuccessful lay-offs,Punches,Drops,Headed Goals,Left Foot Goals,Clean Sheets,Goals from Outside Box,Penalties Off Target,Goalkeeper Smother,Clearances Off the Line,Set Pieces Goals,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks,Second Goal Assists,Own Goal Scored,Other Goals,Last Man Tackle
USA_US_Open_Cup,2017,Anahuac FC,jj5or19dnloyrt21kyhnqzft,A. Alanis,Midfielder,13.0,11.0,1.0,,1.0,10.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Anahuac FC,77025w8dkzb0t0768xce12xux,A. Alvarez,Goalkeeper,1.0,90.0,4.0,1.0,1.0,10.0,4.0,1.0,,,,,,,,13.0,2.0,,35.0,55.0,,11.0,,7.0,4.0,19.0,,,10.0,15.0,6.0,13.0,19.0,17.0,3.0,8.0,16.0,6.0,1.0,6.0,11.0,10.0,1.0,22.0,5.0,1.0,2.0,5.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Anahuac FC,e4ouma1igeogl9n6olk4wsstl,E. Arredondo,Midfielder,20.0,42.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,,,,,,,19.0,4.0,,20.0,22.0,,5.0,,8.0,13.0,13.0,,,,,2.0,5.0,7.0,9.0,2.0,8.0,7.0,,1.0,4.0,2.0,3.0,,11.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Anahuac FC,e1ckbsim3e9rw9qu7w2pccnah,C. Fernandez,Defender,18.0,90.0,4.0,1.0,1.0,10.0,4.0,1.0,,1.0,,,,,,22.0,3.0,,31.0,49.0,,4.0,10.0,4.0,16.0,21.0,3.0,2.0,,,5.0,8.0,11.0,18.0,2.0,17.0,10.0,8.0,1.0,7.0,,3.0,,17.0,,,4.0,,,,1.0,,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,8.0,6.0,3.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Anahuac FC,55qms4oqggiul0o3rf4ueup5,A. Sandoval,Defender,5.0,79.0,3.0,1.0,1.0,10.0,3.0,1.0,1.0,1.0,,,,,,36.0,9.0,1.0,41.0,53.0,,5.0,8.0,10.0,29.0,34.0,2.0,2.0,,,2.0,3.0,9.0,25.0,4.0,29.0,7.0,13.0,,6.0,3.0,2.0,,10.0,,,1.0,,,,,1.0,8.0,2.0,,,,2.0,1.0,1.0,6.0,6.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Anahuac FC,3qgm2olt72l14t9guo44pmoyx,R. Ixta Garcia,Defender,2.0,90.0,4.0,1.0,1.0,10.0,4.0,1.0,,1.0,,,,,,21.0,5.0,,25.0,34.0,,5.0,3.0,5.0,14.0,17.0,,3.0,,,2.0,5.0,10.0,12.0,3.0,12.0,8.0,6.0,,4.0,1.0,4.0,,14.0,,,3.0,,,,,,,3.0,,1.0,,,2.0,1.0,3.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Anahuac FC,dfqyuonvgxtkbqas9yv8ggy5l,I. Jimenez,Midfielder,0.0,90.0,4.0,1.0,1.0,10.0,4.0,1.0,,,,,,,,34.0,10.0,1.0,34.0,45.0,,4.0,6.0,8.0,27.0,27.0,1.0,6.0,,,,3.0,14.0,17.0,4.0,23.0,7.0,12.0,,6.0,1.0,1.0,,6.0,,,,,,,,1.0,8.0,3.0,,,1.0,,1.0,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Anahuac FC,7gt6xipmx01ig3ido0o8je7l5,C. Gutierrez,Midfielder,17.0,90.0,4.0,1.0,1.0,10.0,4.0,1.0,,1.0,,,,,,28.0,6.0,,28.0,51.0,,5.0,3.0,1.0,18.0,18.0,,1.0,,,1.0,2.0,13.0,12.0,8.0,13.0,10.0,9.0,1.0,5.0,1.0,6.0,,17.0,,,4.0,,,,,6.0,1.0,5.0,,,,,,,3.0,2.0,2.0,,1.0,,2.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Anahuac FC,ela4tehpswyi0u6h4yn233mqx,F. Loyo Pineda,Midfielder,12.0,11.0,1.0,,1.0,10.0,1.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Anahuac FC,80yymt35z4uguy96bz1ng37it,J. Maldonado,Forward,9.0,79.0,3.0,1.0,1.0,10.0,3.0,1.0,1.0,,,,,,,9.0,2.0,,10.0,18.0,2.0,,2.0,2.0,4.0,5.0,,1.0,,,,,9.0,3.0,5.0,5.0,5.0,1.0,,5.0,,,,6.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,,2.0,1.0,,,1.0,1.0,1.0,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
