liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Total Red Cards,Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Straight Red Cards,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Winning Goal,Right Foot Goals,Red Cards - 2nd Yellow,Goals from Outside Box,Headed Goals,Throw Ins to Opposition Player,Unsuccessful lay-offs,Foul Won Penalty,Penalties Taken,Penalty Goals,GK Successful Distribution,Attempts from Set Pieces,Saves Made,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Clean Sheets,Second Goal Assists,Clearances Off the Line,Last Man Tackle,Own Goal Scored,Crosses not Claimed,Set Pieces Goals,Other Goals,Penalties Off Target,Home Goals,Away Goals
USA_USL_Championship,2020,Indy Eleven,35tm2y83fcb7sa5rc4phzh08a,C. Antley,Defender,2,7.0,6.0,623.0,25.0,6.0,,,,239.0,3.0,19.0,43.0,,84.0,7.0,2.0,16.0,12.0,1.0,2.0,13.0,113.0,90.0,11.0,54.0,1.0,244.0,3.0,7.0,10.0,160.0,6.0,4.0,70.0,,79.0,7.0,,61.0,,48.0,6.0,18.0,17.0,395.0,1.0,12.0,1.0,2.0,56.0,75.0,14.0,10.0,45.0,3.0,14.0,,10.0,,15.0,10.0,84.0,9.0,8.0,,8.0,12.0,1.0,,,,26.0,47.0,,169.0,174.0,28.0,,,8.0,39.0,3.0,6.0,30.0,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_Championship,2020,Indy Eleven,ane7mklbxwoa3fpsxc3qdf9w5,P. Barrett,Defender,29,5.0,,1164.0,7.0,,,10.0,1.0,665.0,6.0,9.0,46.0,,192.0,25.0,5.0,67.0,8.0,13.0,2.0,18.0,179.0,374.0,25.0,90.0,1.0,723.0,1.0,19.0,3.0,444.0,15.0,18.0,157.0,,184.0,7.0,,115.0,2.0,94.0,13.0,17.0,47.0,901.0,1.0,13.0,9.0,5.0,66.0,303.0,16.0,10.0,83.0,5.0,122.0,,8.0,,49.0,5.0,133.0,42.0,17.0,,5.0,13.0,,,,,32.0,190.0,,517.0,566.0,67.0,,2.0,17.0,50.0,8.0,20.0,34.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_Championship,2020,Indy Eleven,bkhfbvpl7ahh68a53d2ykqmll,A. Carleton,Midfielder,30,10.0,3.0,724.0,4.0,6.0,5.0,1.0,1.0,294.0,7.0,32.0,65.0,4.0,160.0,6.0,2.0,20.0,5.0,11.0,1.0,13.0,134.0,73.0,14.0,51.0,1.0,300.0,6.0,8.0,11.0,207.0,8.0,19.0,71.0,1.0,88.0,8.0,,80.0,9.0,33.0,8.0,15.0,9.0,472.0,10.0,14.0,7.0,1.0,95.0,96.0,36.0,10.0,55.0,8.0,22.0,1.0,24.0,,6.0,18.0,114.0,,9.0,1.0,18.0,14.0,7.0,1.0,,2.0,46.0,51.0,1.0,224.0,229.0,19.0,3.0,1.0,7.0,59.0,7.0,3.0,49.0,0.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Indy Eleven,qltl203pzsm3rkzahegvglpl,D. Conner,Midfielder,6,5.0,1.0,1230.0,3.0,2.0,5.0,1.0,1.0,487.0,,38.0,94.0,2.0,234.0,5.0,2.0,13.0,10.0,3.0,2.0,20.0,174.0,168.0,31.0,86.0,1.0,499.0,7.0,25.0,17.0,382.0,14.0,7.0,99.0,,125.0,18.0,,77.0,1.0,81.0,14.0,20.0,27.0,703.0,1.0,16.0,16.0,1.0,134.0,150.0,16.0,10.0,90.0,4.0,18.0,2.0,16.0,,26.0,18.0,180.0,3.0,16.0,,5.0,16.0,,,,,70.0,130.0,1.0,389.0,400.0,46.0,,1.0,19.0,90.0,12.0,12.0,64.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
USA_USL_Championship,2020,Indy Eleven,dpmcld90j6lqbl3sn13vfkui2,Y. Contreras,Midfielder,24,,2.0,63.0,,,,,,9.0,,,8.0,,4.0,,1.0,,,,,4.0,3.0,6.0,,2.0,,12.0,1.0,1.0,,10.0,2.0,1.0,2.0,,1.0,1.0,,1.0,,2.0,1.0,,1.0,15.0,,1.0,,,1.0,1.0,2.0,10.0,1.0,1.0,,,1.0,,,,5.0,,2.0,,,1.0,,,,,,2.0,,7.0,10.0,4.0,,,,4.0,,,1.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Indy Eleven,46np9froul3m56pyv6xnvkrca,F. Dumas,Defender,16,1.0,,77.0,5.0,2.0,,,,33.0,1.0,,8.0,,14.0,,,2.0,,1.0,,3.0,11.0,10.0,1.0,7.0,,33.0,1.0,1.0,,23.0,,2.0,9.0,,11.0,2.0,,7.0,,3.0,1.0,1.0,3.0,45.0,,3.0,1.0,,3.0,14.0,1.0,10.0,5.0,1.0,1.0,,1.0,,3.0,,9.0,,,,1.0,3.0,,,,,1.0,,,24.0,24.0,6.0,,,,4.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Indy Eleven,blb3vzbk5bvi986xxswlc3s2x,J. Farr,Goalkeeper,99,,,90.0,1.0,,,,,25.0,,,,,2.0,6.0,,13.0,,,,,15.0,16.0,,2.0,,33.0,,,,15.0,1.0,,15.0,,6.0,,,9.0,,11.0,1.0,1.0,6.0,45.0,,1.0,,,,26.0,,10.0,,,3.0,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,16.0,18.0,,,,,,,,,0.0,,,,,,,,,,11.0,,1.0,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,
USA_USL_Championship,2020,Indy Eleven,dl7ha327gcy54bxffnx8vpxhx,Ayoze García,Defender,7,18.0,1.0,694.0,37.0,1.0,5.0,1.0,1.0,487.0,5.0,15.0,133.0,20.0,278.0,5.0,2.0,27.0,7.0,7.0,,9.0,157.0,156.0,10.0,64.0,,505.0,4.0,7.0,15.0,373.0,8.0,9.0,91.0,6.0,180.0,22.0,1.0,98.0,4.0,62.0,9.0,17.0,24.0,722.0,20.0,10.0,3.0,1.0,73.0,158.0,7.0,10.0,46.0,2.0,41.0,11.0,18.0,1.0,3.0,7.0,85.0,6.0,8.0,1.0,31.0,10.0,8.0,2.0,,3.0,30.0,34.0,,399.0,414.0,12.0,3.0,1.0,7.0,39.0,3.0,10.0,43.0,0.0,,,1.0,,3.0,,,,,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_Championship,2020,Indy Eleven,4jq1xl8ott88bxfdo4bjm47hl,T. Gibson,Midfielder,4,1.0,,1385.0,,,4.0,3.0,,796.0,3.0,16.0,133.0,2.0,313.0,15.0,3.0,31.0,15.0,2.0,2.0,14.0,166.0,369.0,19.0,99.0,1.0,810.0,4.0,29.0,5.0,629.0,16.0,3.0,130.0,,190.0,14.0,,81.0,4.0,122.0,16.0,27.0,50.0,975.0,,16.0,21.0,4.0,92.0,213.0,5.0,10.0,62.0,1.0,51.0,2.0,16.0,,22.0,2.0,128.0,7.0,18.0,,1.0,16.0,,,,,52.0,274.0,,669.0,680.0,36.0,,,13.0,66.0,6.0,19.0,40.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
USA_USL_Championship,2020,Indy Eleven,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,Defender,15,9.0,,1350.0,79.0,,,6.0,2.0,988.0,4.0,12.0,121.0,2.0,320.0,58.0,4.0,99.0,10.0,4.0,1.0,21.0,274.0,473.0,13.0,122.0,1.0,1012.0,,10.0,15.0,711.0,17.0,6.0,221.0,,297.0,7.0,,139.0,1.0,151.0,15.0,24.0,91.0,1288.0,,15.0,3.0,10.0,65.0,503.0,22.0,10.0,74.0,2.0,80.0,2.0,13.0,,35.0,5.0,121.0,28.0,18.0,,9.0,15.0,,,1.0,,26.0,91.0,2.0,768.0,791.0,56.0,,1.0,11.0,47.0,2.0,24.0,39.0,0.0,,,,2.0,16.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
