liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Substitute On,Goals,Right Foot Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Passes Opposition Half,Yellow Cards,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Interceptions,Ground Duels won,Winning Goal,Successful Crosses & Corners,Unsuccessful Long Passes,Successful Crosses open play,Offsides,Throw Ins to Own Player,Successful Lay-offs,Unsuccessful Launches,Shots Off Target (inc woodwork),Blocks,Successful Long Passes,Left Foot Goals,Clean Sheets,Tackles Lost,Successful Launches,Hit Woodwork,Assists (Intentional),Unsuccessful lay-offs,Goal Assists,Through balls,Throw Ins to Opposition Player,Handballs conceded,Last Man Tackle,Successful Corners into Box,Second Goal Assists,Attempts from Set Pieces,Foul Won Penalty,Headed Goals,Penalties Taken,Penalty Goals,Saves Made,GK Successful Distribution,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Goals from Outside Box,Clearances Off the Line,Own Goal Scored,Home Goals,Away Goals,Goal Kicks,Crosses not Claimed,Total Red Cards,Red Cards - 2nd Yellow,Drops,Straight Red Cards,Other Goals,Set Pieces Goals,Penalties Off Target
USA_USL_League_One,2020,Fort Lauderdale CF,3oqz86s2ngipsrb1jbb36buqy,N. Allen,Defender,32,2.0,124.0,,,,70.0,,1.0,20.0,23.0,,,,,19.0,36.0,3.0,12.0,,74.0,2.0,,,58.0,1.0,,15.0,25.0,,9.0,,5.0,2.0,3.0,8.0,94.0,,2.0,,8.0,27.0,,10.0,6.0,,3.0,1.0,,9.0,1.0,1.0,2.0,2.0,,3.0,2.0,,55.0,59.0,1.0,1.0,3.0,1.0,5.0,0.0,,3.0,,,6.0,,1.0,,1.0,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Fort Lauderdale CF,65jctzcct9irz3wre08c2v2wa,E. Azcona,Midfielder,28,21.0,1284.0,,3.0,3.0,406.0,10.0,65.0,151.0,216.0,3.0,16.0,2.0,10.0,212.0,141.0,34.0,70.0,2.0,428.0,10.0,31.0,17.0,341.0,21.0,9.0,77.0,149.0,14.0,80.0,3.0,82.0,16.0,31.0,19.0,722.0,18.0,16.0,16.0,189.0,90.0,41.0,10.0,81.0,5.0,27.0,4.0,26.0,203.0,4.0,23.0,22.0,16.0,,112.0,38.0,3.0,329.0,351.0,14.0,22.0,122.0,10.0,77.0,1.0,6.0,7.0,5.0,5.0,7.0,8.0,,4.0,1.0,10.0,,,12.0,,,2.0,2.0,3.0,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,
USA_USL_League_One,2020,Fort Lauderdale CF,2ii5p6glmk3m0in42odnvn7u2,J. Bucknor,Forward,36,9.0,290.0,10.0,,,70.0,2.0,13.0,13.0,47.0,,3.0,,5.0,57.0,11.0,5.0,18.0,,72.0,1.0,8.0,5.0,52.0,5.0,1.0,18.0,27.0,5.0,26.0,2.0,10.0,1.0,7.0,1.0,149.0,1.0,11.0,3.0,39.0,11.0,11.0,10.0,21.0,,6.0,5.0,9.0,49.0,1.0,5.0,9.0,11.0,,23.0,21.0,,52.0,54.0,10.0,2.0,28.0,1.0,16.0,0.0,4.0,,4.0,4.0,3.0,,,1.0,,2.0,,,3.0,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Fort Lauderdale CF,ezmxejo76ugvbafkj5vz94mzu,A. Cardenas,Midfielder,27,7.0,241.0,2.0,,,42.0,3.0,16.0,11.0,22.0,1.0,4.0,,3.0,42.0,10.0,6.0,12.0,,42.0,4.0,5.0,6.0,30.0,3.0,,12.0,6.0,2.0,17.0,,8.0,4.0,6.0,2.0,102.0,,6.0,2.0,40.0,10.0,8.0,10.0,17.0,,5.0,,8.0,43.0,1.0,3.0,7.0,6.0,,23.0,15.0,,30.0,30.0,3.0,2.0,26.0,,17.0,0.0,2.0,,2.0,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Fort Lauderdale CF,61fjyclc80jqcemkibgaffvmd,S. Carrasco,Midfielder,5,2.0,1118.0,1.0,,,662.0,4.0,4.0,95.0,273.0,2.0,7.0,2.0,9.0,97.0,368.0,21.0,58.0,2.0,721.0,1.0,18.0,1.0,597.0,21.0,6.0,80.0,193.0,7.0,64.0,5.0,50.0,12.0,12.0,18.0,837.0,1.0,13.0,13.0,66.0,224.0,9.0,10.0,49.0,2.0,11.0,16.0,1.0,91.0,11.0,23.0,2.0,13.0,,33.0,209.0,,589.0,641.0,25.0,11.0,42.0,11.0,33.0,0.0,,22.0,,,4.0,7.0,2.0,4.0,9.0,44.0,,1.0,10.0,1.0,1.0,,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Fort Lauderdale CF,31lce55kff3nwd9293h3ii191,D. Castanheira,Goalkeeper,30,,990.0,,,,247.0,,,,16.0,2.0,,1.0,,88.0,279.0,,6.0,2.0,382.0,,1.0,1.0,246.0,19.0,,87.0,109.0,,52.0,,94.0,11.0,,35.0,500.0,,11.0,1.0,2.0,166.0,,10.0,4.0,,,3.0,,5.0,9.0,20.0,,11.0,,1.0,107.0,,199.0,295.0,3.0,,1.0,,1.0,0.0,,81.0,,,,,34.0,,,49.0,,,,5.0,1.0,,,,,,,,,,,,,,,44.0,132.0,1.0,4.0,,2.0,3.0,11.0,15.0,33.0,3.0,,1.0,16.0,,,,,,91.0,,,,,,,,
USA_USL_League_One,2020,Fort Lauderdale CF,5ot4qjh2lm79xq88lw08zbuju,A. Cuartas,Defender,16,,9.0,1.0,,,3.0,,,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,3.0,,,,3.0,1.0,,,,,,,,,1.0,,8.0,,1.0,,1.0,,,10.0,1.0,,,,,1.0,,1.0,,1.0,,,2.0,,3.0,3.0,,1.0,,,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Fort Lauderdale CF,9n4dakrt5fub395j3b2tkhm5m,C. Cuellar,Midfielder,33,,32.0,2.0,,,9.0,,,1.0,2.0,,,,1.0,5.0,2.0,,5.0,,9.0,,1.0,,4.0,1.0,,5.0,2.0,,4.0,,3.0,,1.0,1.0,13.0,,2.0,,3.0,6.0,,10.0,,,,,,4.0,1.0,1.0,,2.0,,3.0,,,4.0,4.0,1.0,,4.0,1.0,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Fort Lauderdale CF,6dp8o244dh2d06tiaee72ooo9,B. Ferri,Midfielder,8,3.0,1063.0,4.0,,,467.0,3.0,31.0,110.0,238.0,,19.0,2.0,6.0,143.0,168.0,18.0,66.0,2.0,481.0,7.0,11.0,17.0,381.0,18.0,6.0,79.0,101.0,14.0,79.0,2.0,54.0,12.0,26.0,9.0,676.0,5.0,16.0,4.0,112.0,142.0,17.0,10.0,68.0,3.0,27.0,6.0,10.0,124.0,4.0,20.0,9.0,16.0,3.0,50.0,128.0,,392.0,402.0,12.0,10.0,56.0,9.0,62.0,0.0,4.0,13.0,3.0,,2.0,3.0,1.0,3.0,2.0,21.0,,,8.0,,,,,,3.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2020,Fort Lauderdale CF,87plrqqcwrv16d5v8mretfp7u,I. Fray,Defender,24,,702.0,1.0,,,562.0,,3.0,31.0,147.0,2.0,5.0,1.0,9.0,99.0,365.0,13.0,47.0,1.0,592.0,,7.0,13.0,461.0,8.0,,80.0,86.0,,44.0,,64.0,8.0,9.0,36.0,713.0,,9.0,6.0,59.0,254.0,2.0,10.0,55.0,,23.0,7.0,2.0,75.0,23.0,9.0,,9.0,,11.0,221.0,,483.0,512.0,16.0,11.0,20.0,12.0,48.0,0.0,,33.0,,1.0,,,6.0,,4.0,51.0,,1.0,2.0,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
