liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Goals Conceded Inside Box,Shots On Target ( inc goals ),Touches,Leftside Passes,Total Shots,Open Play Passes,Unsuccessful Launches,Left Foot Goals,Goals Conceded,Tackles Lost,Successful Passes Own Half,Forward Passes,Successful Launches,Index,Key Passes (Attempt Assists),Unsuccessful Short Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Corners Taken (incl short corners),Unsuccessful Dribbles,Duels won,Total Fouls Won,Offsides,Shots Off Target (inc woodwork),Ground Duels won,Ground Duels lost,Times Tackled,Aerial Duels won,Backward Passes,Throw Ins to Opposition Player,Successful Long Passes,Throw Ins to Own Player,Corners Won,Interceptions,Tackles Won,Time Played,Blocked Shots,Ground Duels,Goals Conceded Outside Box,Successful Dribbles,Starts,Handballs conceded,Total Tackles,Appearances,Goals from Inside Box,Total Fouls Conceded,Total Passes,Rightside Passes,Successful Crosses open play,Unsuccessful Long Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Clean Sheets,Total Losses Of Possession,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Successful Open Play Passes,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Penalty Goals Conceded,Unsuccessful lay-offs,Blocks,Successful Short Passes,Successful Lay-offs,Unsuccessful Passes Opposition Half,Foul Attempted Tackle,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Recoveries,Aerial Duels lost,Duels,Aerial Duels,Total Clearances,Attempts from Set Pieces,Unsuccessful Corners into Box,Duels lost,Successful Crosses & Corners,Successful Corners into Box,Home Goals,Away Goals,Winning Goal,Clearances Off the Line,Penalties Conceded,Right Foot Goals,Through balls,Goals from Outside Box,Headed Goals,Catches,Drops,Goalkeeper Smother,Punches,Saves Made from Outside Box,Penalties Faced,Saves made - caught,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves made - parried,Crosses not Claimed,GK Successful Distribution,Saves Made,Goal Assists,Total Touches In Opposition Box,Assists (Intentional),Set Pieces Goals,Hit Woodwork,Penalties Saved,Saves from Penalty,Second Goal Assists,Other Goals,Penalties Taken,Penalty Goals,Foul Won Penalty,Last Man Tackle,Own Goal Scored
USA_MLS,2010,Columbus Crew,5ew9i22zmvgxmqb1puwva1qz9,G. Barros Schelotto,Forward,7.0,31.0,9.0,1.0,,,,,11.0,29.0,22.0,1719.0,196.0,51.0,938.0,4.0,1.0,35.0,7.0,199.0,364.0,1.0,10.0,95.0,274.0,733.0,129.0,22.0,105.0,58.0,32.0,29.0,87.0,125.0,98.0,18.0,221.0,1.0,50.0,17.0,38.0,10.0,19.0,2726.0,10.0,212.0,6.0,9.0,31.0,1.0,26.0,31.0,8.0,14.0,1042.0,261.0,17.0,35.0,309.0,6.0,672.0,45.0,19.0,661.0,38.0,170.0,4.0,9.0,1.0,683.0,85.0,458.0,7.0,21.0,622.0,101.0,17.0,247.0,35.0,2.0,8.0,73.0,142.0,88.0,46.0,6.0,3.0,8.0,,,7.0,25.0,1.0,1.0,,,,,,,,,,,,,,7.0,11.0,7.0,,,,,3.0,,6.0,5.0,,,
USA_MLS,2010,Columbus Crew,3psh23ixts3e3ponnh58bvb2t,E. Brunner,Defender,23.0,15.0,1.0,2.0,,,,1.0,1.0,10.0,2.0,687.0,121.0,6.0,424.0,28.0,,14.0,7.0,236.0,207.0,3.0,10.0,3.0,74.0,315.0,,,90.0,13.0,,4.0,43.0,15.0,3.0,47.0,23.0,1.0,44.0,2.0,2.0,25.0,30.0,1258.0,,58.0,4.0,2.0,14.0,,37.0,15.0,1.0,10.0,434.0,83.0,1.0,45.0,119.0,5.0,142.0,3.0,4.0,308.0,6.0,3.0,1.0,,10.0,271.0,,86.0,4.0,36.0,80.0,82.0,30.0,135.0,77.0,115.0,,,45.0,1.0,,1.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,
USA_MLS,2010,Columbus Crew,aeddxnxfxwt6xu61isttwr7x1,K. Burns,Midfielder,15.0,11.0,,1.0,,,,7.0,1.0,7.0,2.0,351.0,58.0,4.0,276.0,3.0,,8.0,3.0,83.0,109.0,1.0,10.0,3.0,41.0,224.0,,,25.0,3.0,,2.0,18.0,13.0,4.0,7.0,34.0,1.0,30.0,2.0,,14.0,12.0,478.0,1.0,31.0,1.0,1.0,4.0,,15.0,11.0,,6.0,278.0,77.0,,13.0,54.0,2.0,68.0,2.0,4.0,222.0,4.0,2.0,2.0,,2.0,194.0,1.0,49.0,3.0,7.0,141.0,41.0,6.0,44.0,13.0,8.0,,,19.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2010,Columbus Crew,bga32zh7ovvj6rlxyztpsngt1,B. Carroll,Midfielder,16.0,30.0,1.0,5.0,,,,1.0,3.0,29.0,3.0,1322.0,317.0,7.0,1013.0,31.0,,33.0,8.0,373.0,369.0,10.0,10.0,13.0,155.0,819.0,,3.0,76.0,6.0,,4.0,63.0,61.0,15.0,13.0,95.0,1.0,111.0,6.0,3.0,49.0,47.0,2587.0,4.0,124.0,4.0,2.0,29.0,2.0,55.0,30.0,,27.0,1042.0,261.0,1.0,68.0,223.0,8.0,268.0,6.0,28.0,793.0,37.0,6.0,4.0,,8.0,708.0,22.0,188.0,20.0,41.0,447.0,151.0,21.0,158.0,34.0,39.0,,,82.0,1.0,,1.0,0.0,0.0,,,1.0,5.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,
USA_MLS,2010,Columbus Crew,42xbviu1celrq1fh9ci55zphx,D. Duka,Midfielder,11.0,3.0,,1.0,,,,1.0,2.0,3.0,1.0,91.0,20.0,2.0,58.0,1.0,,3.0,1.0,18.0,15.0,,10.0,,13.0,43.0,,1.0,7.0,3.0,,1.0,6.0,13.0,10.0,1.0,16.0,,3.0,1.0,4.0,2.0,2.0,160.0,,19.0,,,2.0,,3.0,3.0,,3.0,58.0,7.0,1.0,2.0,15.0,,30.0,1.0,2.0,43.0,5.0,1.0,,,,40.0,2.0,9.0,2.0,7.0,26.0,13.0,4.0,24.0,5.0,,,,17.0,1.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Columbus Crew,anxrz1d44c38549ch7gwe6sph,E. Ekpo,Midfielder,17.0,26.0,1.0,2.0,,,,11.0,11.0,15.0,5.0,766.0,102.0,13.0,438.0,5.0,1.0,19.0,2.0,103.0,154.0,2.0,10.0,19.0,107.0,317.0,1.0,30.0,83.0,23.0,2.0,8.0,74.0,90.0,72.0,9.0,84.0,,32.0,16.0,11.0,23.0,21.0,1344.0,8.0,164.0,4.0,29.0,15.0,1.0,23.0,26.0,1.0,19.0,441.0,101.0,10.0,17.0,124.0,1.0,268.0,29.0,10.0,314.0,24.0,29.0,3.0,2.0,3.0,285.0,10.0,132.0,7.0,21.0,225.0,79.0,21.0,194.0,30.0,11.0,,,111.0,11.0,1.0,0.0,1.0,0.0,,,,4.0,,,,,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,
USA_MLS,2010,Columbus Crew,97pjboubtkne3y3p19q7oag9h,S. Francis,Defender,29.0,14.0,,4.0,,,,2.0,,12.0,,786.0,13.0,5.0,417.0,34.0,,15.0,7.0,154.0,236.0,9.0,10.0,4.0,78.0,310.0,,5.0,63.0,7.0,,5.0,51.0,44.0,16.0,12.0,30.0,24.0,34.0,98.0,1.0,32.0,39.0,1203.0,1.0,95.0,3.0,,12.0,1.0,46.0,14.0,,21.0,428.0,149.0,5.0,40.0,118.0,3.0,195.0,15.0,12.0,299.0,20.0,15.0,2.0,,1.0,276.0,6.0,102.0,12.0,31.0,161.0,59.0,18.0,125.0,30.0,59.0,,,62.0,5.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
USA_MLS,2010,Columbus Crew,776mfr932euvv04yvcwogbvmd,J. Garey,Forward,9.0,24.0,2.0,,,,,15.0,8.0,7.0,4.0,301.0,56.0,8.0,203.0,1.0,,8.0,,40.0,55.0,1.0,10.0,8.0,59.0,149.0,2.0,7.0,30.0,3.0,10.0,4.0,6.0,28.0,17.0,24.0,51.0,,6.0,4.0,3.0,3.0,2.0,854.0,2.0,34.0,1.0,3.0,9.0,,2.0,24.0,2.0,7.0,212.0,50.0,2.0,4.0,63.0,1.0,104.0,8.0,6.0,140.0,7.0,8.0,,1.0,2.0,143.0,17.0,61.0,3.0,10.0,111.0,23.0,43.0,101.0,67.0,7.0,,,71.0,2.0,,2.0,0.0,4.0,,,1.0,,,1.0,,,,,,,,,,,,,,2.0,8.0,2.0,,,,,,,,,,,
USA_MLS,2010,Columbus Crew,9bdkem3nhq3z4whhb8uu6b9w5,E. Gaven,Midfielder,12.0,30.0,4.0,,,,,,5.0,26.0,18.0,1505.0,225.0,35.0,937.0,11.0,2.0,29.0,10.0,296.0,299.0,1.0,10.0,24.0,159.0,763.0,11.0,30.0,164.0,64.0,5.0,17.0,133.0,105.0,69.0,31.0,224.0,4.0,38.0,32.0,18.0,31.0,45.0,2585.0,8.0,238.0,3.0,17.0,30.0,2.0,55.0,30.0,4.0,23.0,951.0,203.0,13.0,29.0,188.0,9.0,381.0,45.0,38.0,754.0,49.0,61.0,3.0,3.0,3.0,725.0,39.0,219.0,10.0,30.0,487.0,161.0,48.0,317.0,79.0,24.0,1.0,5.0,153.0,20.0,5.0,2.0,2.0,0.0,1.0,,1.0,4.0,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,3.0,9.0,3.0,,1.0,,,1.0,,,,2.0,,
USA_MLS,2010,Columbus Crew,77ieee6ebhnxjf0rbwrau6xg5,A. Gruenebaum,Goalkeeper,30.0,2.0,,,,,,,,2.0,,77.0,3.0,,12.0,4.0,,2.0,,12.0,37.0,4.0,10.0,,2.0,21.0,,,1.0,1.0,,,,,,1.0,,,11.0,,,,,210.0,,,,,2.0,,,2.0,,,42.0,2.0,,19.0,21.0,,30.0,,,10.0,,,,,,10.0,,21.0,,,9.0,32.0,,1.0,1.0,2.0,,,,,,0.0,0.0,0.0,,,,,,,2.0,,,2.0,3.0,,3.0,4.0,19.0,,,19.0,7.0,,,,,,,,,,,,,,
