liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Crosses open play,Rightside Passes,Penalties Conceded,Blocked Shots,Ground Duels won,Total Shots,Goal Assists,Unsuccessful Crosses open play,Successful Corners into Box,Goals Conceded,Overruns,Foul Attempted Tackle,Clearances Off the Line,Aerial Duels lost,Successful Launches,Goals Conceded Inside Box,Second Goal Assists,Total Losses Of Possession,Yellow Cards,Unsuccessful Corners into Box,Starts,Unsuccessful Passes Own Half,Total Clearances,Corners Taken (incl short corners),Times Tackled,Games Played,Through balls,Successful Lay-offs,PutThrough/Blocked Distribution Won,Unsuccessful Long Passes,Right Foot Goals,Leftside Passes,Penalties Taken,Tackles Won,Successful Short Passes,Successful Long Passes,Blocks,Successful Passes Opposition Half,Backward Passes,Successful Open Play Passes,Index,Penalty Goals Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Attempts from Set Pieces,Corners Won,GK Successful Distribution,Unsuccessful Dribbles,Recoveries,Goals Conceded Outside Box,Throw Ins to Own Player,Offsides,Key Passes (Attempt Assists),Goals from Inside Box,Shots On Target ( inc goals ),Total Tackles,Total Fouls Won,Appearances,Ground Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Goals from Outside Box,Duels won,Assists (Intentional),Aerial Duels won,Total Fouls Conceded,Duels lost,Unsuccessful Short Passes,Forward Passes,Touches,Aerial Duels,Goals,Interceptions,Penalty Goals,PutThrough/Blocked Distribution,Total Passes,Unsuccessful Passes Opposition Half,Total Touches In Opposition Box,Successful Dribbles,Successful Passes Own Half,Clean Sheets,Unsuccessful Launches,Time Played,Duels,Tackles Lost,Shots Off Target (inc woodwork),Successful Crosses & Corners,Goal Kicks,Handballs conceded,Set Pieces Goals,Ground Duels,Unsuccessful Crosses & Corners,Home Goals,Away Goals,Winning Goal,Saves Made from Outside Box,Goalkeeper Smother,GK Unsuccessful Distribution,Punches,Saves made - parried,Saves Made,Saves Made from Inside Box,Drops,Catches,Penalties Faced,Foul Won Penalty,Headed Goals,Hit Woodwork,Substitute Off,Substitute On,Throw Ins to Opposition Player,Last Player Tackle,Left Foot Goals,Own Goal Scored,Unsuccessful lay-offs,Penalties Saved,Saves made - caught,Saves from Penalty,Total Red Cards,Red Cards - 2nd Yellow,Straight Red Cards,Other Goals,Crosses not Claimed,Penalties Off Target
USA_MLS_Next_Pro,2024,Ventura County FC,e7q60ne93c6289xwnt9zj65wq,M. Ferkranus,Defender,12,,128.0,1.0,,8.0,,,,,9.0,,7.0,,5.0,2.0,7.0,,42.0,4.0,,7.0,12.0,15.0,,1.0,8.0,,,3.0,22.0,,236.0,,2.0,436.0,28.0,3.0,100.0,18.0,446.0,10.0,,464.0,481.0,,,5.0,,23.0,2.0,,,2.0,,,4.0,4.0,8.0,10.0,35.0,,16.0,,8.0,9.0,15.0,13.0,117.0,551.0,13.0,,9.0,,5.0,499.0,23.0,6.0,,364.0,,13.0,619.0,31.0,2.0,,,5.0,1.0,,18.0,,,,0.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,9d2xzklfm4lnhy5wl80bmp4pg,E. Garcia,Defender,90,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,10.0,,,,,1.0,,,,,,,,,,,,2.0,,,,1.0,,,,,,,2.0,,,,,,,,,1.0,,,,3.0,1.0,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,1s6n11zxo7m7w76w1ga9scbo4,O. Garcia,Midfielder,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,2vkfc121vxf4n83nluee80k5w,E. Garcés,Defender,25,,32.0,,,6.0,1.0,,,,2.0,,,,,,2.0,,12.0,1.0,,2.0,6.0,2.0,,1.0,2.0,,,1.0,7.0,,36.0,,4.0,92.0,5.0,,17.0,8.0,95.0,10.0,,97.0,106.0,,,,1.0,8.0,,,,,,,6.0,,2.0,3.0,11.0,,8.0,,2.0,1.0,3.0,4.0,32.0,124.0,2.0,,4.0,,1.0,108.0,5.0,1.0,,80.0,,3.0,123.0,11.0,2.0,1.0,,,,,9.0,,,,0.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,5qrto8swdtqw50ppzkdnzse8k,G. Gonzalez,Midfielder,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,2io6rajwkftjli8i14hf606ei,E. Hernandez,Forward,71,,21.0,,4.0,25.0,6.0,1.0,3.0,1.0,7.0,2.0,3.0,,3.0,,6.0,,64.0,1.0,2.0,3.0,4.0,1.0,3.0,17.0,17.0,1.0,1.0,4.0,5.0,,44.0,,7.0,101.0,2.0,,78.0,27.0,102.0,10.0,1.0,103.0,133.0,,4.0,,10.0,27.0,1.0,4.0,,6.0,,3.0,9.0,9.0,17.0,26.0,31.0,1.0,25.0,,,5.0,29.0,26.0,42.0,225.0,3.0,1.0,5.0,,9.0,134.0,32.0,13.0,7.0,26.0,,1.0,336.0,54.0,2.0,3.0,1.0,,,,51.0,5.0,0.0,1.0,0.0,,,,,,,,,,,,,,3.0,14.0,,,1.0,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,5zawuirp825t4brhaj90k9duy,S. Karani,Forward,61,8.0,139.0,,9.0,128.0,38.0,1.0,26.0,,43.0,11.0,24.0,,16.0,1.0,38.0,,274.0,7.0,1.0,24.0,23.0,13.0,1.0,67.0,29.0,1.0,22.0,16.0,15.0,4.0,86.0,,33.0,403.0,15.0,1.0,298.0,185.0,408.0,10.0,1.0,418.0,515.0,,17.0,,37.0,82.0,5.0,13.0,17.0,24.0,5.0,18.0,52.0,47.0,29.0,115.0,107.0,,143.0,1.0,15.0,30.0,131.0,92.0,115.0,967.0,31.0,5.0,9.0,,38.0,525.0,111.0,104.0,29.0,128.0,,3.0,1925.0,274.0,19.0,20.0,8.0,,,,243.0,27.0,3.0,2.0,1.0,,,,,,,,,,,1.0,,1.0,20.0,5.0,,,1.0,,2.0,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,2vq2t4ttpcwey95jzofd60qy2,C. Klein,Forward,47,9.0,100.0,,3.0,42.0,5.0,1.0,25.0,,36.0,1.0,7.0,,22.0,18.0,33.0,,223.0,5.0,,17.0,62.0,64.0,,8.0,25.0,,,8.0,70.0,,460.0,,17.0,786.0,63.0,12.0,276.0,96.0,820.0,10.0,3.0,849.0,978.0,,8.0,6.0,6.0,78.0,3.0,98.0,2.0,15.0,,3.0,29.0,8.0,25.0,42.0,159.0,,62.0,1.0,20.0,22.0,64.0,89.0,352.0,1344.0,42.0,,7.0,,19.0,1008.0,122.0,20.0,5.0,582.0,2.0,43.0,1664.0,126.0,12.0,2.0,9.0,6.0,1.0,,84.0,25.0,,,0.0,,,,,,,,,,,,,,1.0,8.0,10.0,,,,,,,,2.0,2.0,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,63fxqtvnryppqsyli70ey7omi,J. Kocevski,Midfielder,47,,49.0,,2.0,15.0,,2.0,6.0,,6.0,,2.0,,1.0,1.0,5.0,,30.0,,,4.0,6.0,3.0,,4.0,4.0,1.0,3.0,6.0,4.0,,72.0,,5.0,193.0,15.0,3.0,114.0,26.0,204.0,10.0,,208.0,219.0,,1.0,,3.0,13.0,1.0,1.0,,1.0,,,9.0,5.0,4.0,19.0,16.0,,15.0,2.0,,6.0,20.0,12.0,77.0,271.0,1.0,,1.0,,10.0,224.0,16.0,1.0,1.0,94.0,1.0,1.0,351.0,35.0,4.0,,,,,,34.0,6.0,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Ventura County FC,4x2cg9w7dpg8axic4gehs66fo,A. Legaspi,Defender,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
