liga,temporada,equipo,id,nombre,posicion,dorsal,Total Losses Of Possession,Ground Duels lost,Shots Off Target (inc woodwork),Successful Dribbles,Total Fouls Conceded,Leftside Passes,Penalty Goals Conceded,Ground Duels won,Throw Ins to Opposition Player,Recoveries,Throw Ins to Own Player,Goals Conceded Outside Box,Total Passes,Clearances Off the Line,Touches,Aerial Duels lost,Shots On Target ( inc goals ),Unsuccessful Passes Own Half,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Duels,Total Touches In Opposition Box,Corners Won,Ground Duels,Unsuccessful Crosses open play,Goals Conceded Inside Box,Unsuccessful Crosses & Corners,Index,Duels won,Hit Woodwork,Yellow Cards,Successful Open Play Passes,Successful Passes Own Half,Successful Lay-offs,Successful Short Passes,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Duels lost,Successful Crosses & Corners,Successful Crosses open play,Total Shots,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Tackles,Unsuccessful Short Passes,Backward Passes,Forward Passes,Aerial Duels won,Appearances,Clean Sheets,Successful Passes Opposition Half,Unsuccessful Dribbles,Games Played,Total Clearances,Tackles Won,Tackles Lost,Aerial Duels,Open Play Passes,Key Passes (Attempt Assists),Unsuccessful Launches,Times Tackled,Successful Long Passes,Total Fouls Won,Rightside Passes,Successful Launches,PutThrough/Blocked Distribution,Interceptions,Blocks,Starts,Foul Attempted Tackle,Unsuccessful Passes Opposition Half,Winning Goal,Corners Taken (incl short corners),Through balls,Substitute Off,Substitute On,Unsuccessful Corners into Box,Goals from Inside Box,Handballs conceded,Goals,Right Foot Goals,Blocked Shots,Overruns,Unsuccessful lay-offs,Home Goals,Away Goals,Successful Corners into Box,Last Player Tackle,Left Foot Goals,Offsides,Goals from Outside Box,Headed Goals,Straight Red Cards,Total Red Cards,Assists (Intentional),Goal Assists,Penalties Conceded,Attempts from Set Pieces,Red Cards - 2nd Yellow,Goal Kicks,GK Successful Distribution,Foul Won Penalty,Second Goal Assists,Saves Made from Outside Box,Saves Made,Penalties Faced,GK Unsuccessful Distribution,Punches,Catches,Goalkeeper Smother,Saves Made from Inside Box,Drops,Saves made - parried,Set Pieces Goals,Penalties Taken,Penalty Goals,Own Goal Scored,Saves made - caught,Saves from Penalty,Penalties Saved,Crosses not Claimed,Other Goals,Penalties Off Target
Mexico_Liga_MX,2023-2024,CF América,7lcegswg90fuud1yp14qiqui,S. Naveda,Midfielder,16,15.0,2.0,2.0,3.0,1.0,15.0,,10.0,,7.0,,,70.0,,100.0,3.0,,4.0,59.0,151.0,18.0,3.0,,12.0,2.0,2.0,2.0,10.0,13.0,,,57.0,29.0,1.0,54.0,2.0,1.0,5.0,,,2.0,2.0,11.0,4.0,9.0,8.0,16.0,3.0,7.0,,30.0,,7.0,2.0,2.0,2.0,6.0,68.0,,,1.0,5.0,3.0,31.0,1.0,3.0,5.0,1.0,2.0,,9.0,0.0,,1.0,2.0,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,bb3je87e5kz5vwj7nb7gajqc4,R. Orquin,Defender,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,cfiiw6q7yq9m4igj9hu7gpfdg,L. Palestina,Goalkeeper,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,8oysg1rd2ern90ef3pbxsuwo9,J. Quiñones,Forward,33,244.0,92.0,24.0,15.0,24.0,100.0,,61.0,1.0,66.0,5.0,3.0,480.0,,814.0,26.0,31.0,20.0,379.0,1544.0,195.0,118.0,15.0,153.0,13.0,13.0,13.0,10.0,77.0,2.0,3.0,363.0,119.0,13.0,358.0,10.0,14.0,118.0,4.0,4.0,55.0,16.0,101.0,12.0,91.0,150.0,85.0,16.0,20.0,1.0,264.0,27.0,20.0,8.0,8.0,4.0,42.0,464.0,24.0,1.0,69.0,21.0,34.0,145.0,,31.0,8.0,4.0,18.0,12.0,94.0,3.0,,5.0,12.0,2.0,,10.0,2.0,10.0,7.0,8.0,1.0,5.0,7.0,3.0,,,2.0,11.0,,1.0,,,3.0,5.0,,,,,,1.0,,,,,,,,,,,,,3.0,3.0,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,7pg9lq56ajyr368bpwsajwyne,M. Ramírez,Midfielder,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,a1ootdgvyfcn6u2tdmnts68ve,I. Reyes,Defender,3,36.0,4.0,1.0,1.0,3.0,165.0,,12.0,,25.0,1.0,1.0,407.0,,457.0,10.0,,8.0,374.0,557.0,31.0,2.0,,16.0,,6.0,,10.0,17.0,,,366.0,259.0,,346.0,18.0,,14.0,,,1.0,7.0,33.0,6.0,15.0,17.0,131.0,5.0,9.0,1.0,115.0,,9.0,12.0,3.0,3.0,15.0,399.0,,5.0,1.0,28.0,5.0,94.0,1.0,2.0,12.0,3.0,6.0,1.0,25.0,0.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,32d1wbtc1fdy41cj1ky302b55,S. Reyes,Midfielder,26,84.0,25.0,1.0,4.0,8.0,13.0,,26.0,6.0,25.0,55.0,1.0,308.0,,480.0,10.0,1.0,15.0,267.0,654.0,69.0,13.0,7.0,51.0,18.0,5.0,18.0,10.0,34.0,,1.0,261.0,132.0,1.0,259.0,16.0,7.0,35.0,2.0,2.0,2.0,6.0,41.0,17.0,25.0,99.0,98.0,8.0,16.0,3.0,137.0,5.0,16.0,11.0,13.0,4.0,18.0,301.0,1.0,9.0,13.0,8.0,5.0,98.0,2.0,17.0,8.0,,6.0,1.0,44.0,0.0,,,1.0,10.0,,,1.0,,,4.0,1.0,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,euha4w0awkqy0zo5rktvje57t,B. Rodríguez,Midfielder,7,165.0,57.0,3.0,37.0,8.0,21.0,,57.0,,44.0,3.0,1.0,340.0,,566.0,4.0,9.0,7.0,282.0,899.0,119.0,65.0,17.0,114.0,21.0,6.0,30.0,10.0,58.0,,,274.0,68.0,6.0,273.0,8.0,7.0,61.0,7.0,6.0,12.0,7.0,58.0,6.0,50.0,118.0,36.0,1.0,14.0,1.0,221.0,37.0,14.0,1.0,4.0,2.0,5.0,332.0,15.0,1.0,48.0,9.0,14.0,165.0,,16.0,2.0,1.0,10.0,2.0,81.0,2.0,15.0,,6.0,4.0,7.0,3.0,2.0,4.0,2.0,6.0,5.0,,3.0,1.0,1.0,,2.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,bepgomq3u5u8e6d4qrsj0frh1,J. Rodríguez,Forward,11,100.0,36.0,5.0,11.0,13.0,33.0,,30.0,2.0,25.0,4.0,2.0,234.0,,360.0,13.0,12.0,10.0,178.0,793.0,88.0,44.0,6.0,66.0,1.0,5.0,1.0,10.0,39.0,1.0,2.0,177.0,40.0,8.0,175.0,3.0,4.0,49.0,1.0,1.0,17.0,7.0,56.0,13.0,53.0,60.0,56.0,9.0,17.0,2.0,139.0,6.0,17.0,7.0,5.0,8.0,22.0,233.0,4.0,3.0,17.0,3.0,6.0,85.0,2.0,11.0,1.0,,7.0,8.0,47.0,2.0,1.0,,4.0,10.0,,7.0,,7.0,5.0,3.0,3.0,1.0,5.0,2.0,,,1.0,4.0,,1.0,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,4qlsgfu3mc2xaav1y9bpvfsh5,I. Rodríguez,Midfielder,15,126.0,49.0,2.0,11.0,21.0,212.0,3.0,63.0,,75.0,1.0,,710.0,1.0,892.0,13.0,,38.0,618.0,1261.0,135.0,2.0,4.0,112.0,7.0,22.0,7.0,10.0,73.0,,1.0,601.0,284.0,6.0,575.0,26.0,14.0,62.0,3.0,3.0,2.0,22.0,92.0,42.0,66.0,73.0,197.0,10.0,21.0,2.0,337.0,5.0,21.0,16.0,28.0,14.0,23.0,692.0,5.0,16.0,13.0,43.0,10.0,228.0,5.0,21.0,18.0,7.0,14.0,11.0,61.0,0.0,,1.0,5.0,7.0,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
