liga,temporada,equipo,id,nombre,posicion,dorsal,Throw Ins to Own Player,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Long Passes,Unsuccessful Short Passes,Successful Passes Own Half,Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Dribbles,Backward Passes,Duels won,PutThrough/Blocked Distribution,Total Fouls Won,Aerial Duels,Total Losses Of Possession,Successful Short Passes,Total Clearances,Time Played,Clean Sheets,Unsuccessful Passes Opposition Half,Duels,Index,Rightside Passes,Ground Duels,Ground Duels won,Throw Ins to Opposition Player,Starts,Unsuccessful Long Passes,Ground Duels lost,Appearances,Open Play Passes,Tackles Lost,Games Played,Aerial Duels lost,Leftside Passes,Foul Attempted Tackle,Successful Open Play Passes,Total Tackles,Unsuccessful Passes Own Half,Interceptions,Total Passes,Aerial Duels won,Times Tackled,Successful Passes Opposition Half,Touches,Forward Passes,Recoveries,Total Fouls Conceded,Winning Goal,Unsuccessful Launches,Successful Dribbles,Tackles Won,Key Passes (Attempt Assists),Substitute On,Total Shots,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution Won,Substitute Off,Blocked Shots,Shots Off Target (inc woodwork),Corners Won,Unsuccessful Crosses open play,Overruns,Unsuccessful Corners into Box,Total Touches In Opposition Box,Corners Taken (incl short corners),Attempts from Set Pieces,Shots On Target ( inc goals ),Offsides,Catches,Saves Made from Inside Box,GK Successful Distribution,Saves Made,Goal Kicks,Saves Made from Outside Box,Saves made - parried,Blocks,Successful Launches,Total Red Cards,Straight Red Cards,Successful Corners into Box,Successful Crosses & Corners,Successful Lay-offs,Handballs conceded,GK Unsuccessful Distribution,Red Cards - 2nd Yellow
Concacaf_Campeones_Cup,2023,Los Angeles FC,6k22ppzw6wv0c4gskzxk28fyt,K. Acosta,Midfielder,23,,10.0,1.0,9.0,10.0,5.0,23.0,1.0,5.0,4.0,2.0,1.0,1.0,14.0,22.0,,90.0,1.0,9.0,9.0,10.0,8.0,8.0,4.0,,1.0,1.0,4.0,1.0,32.0,1.0,1.0,1.0,10.0,,22.0,2.0,2.0,2.0,33.0,,1.0,14.0,49.0,10.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,eoxsyfrsq1x9xa2zxvw8ui0ru,S. Biuk,Forward,7,,1.0,,1.0,2.0,,2.0,,1.0,,,,,1.0,2.0,,13.0,,1.0,,10.0,1.0,,,,,,,1.0,3.0,,1.0,,,,2.0,,,,3.0,,,,4.0,1.0,1.0,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,399pgumsrvtb9kcx58vw5cmlm,M. Bogusz,Midfielder,19,,6.0,,6.0,5.0,9.0,20.0,1.0,6.0,7.0,,3.0,,13.0,20.0,1.0,64.0,,6.0,16.0,10.0,4.0,16.0,7.0,,1.0,,9.0,1.0,26.0,2.0,1.0,,6.0,,20.0,3.0,1.0,1.0,26.0,,5.0,15.0,45.0,10.0,8.0,1.0,0.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,9bsl9l00l69qc7odmqzez5xp1,D. Bouanga,Forward,99,1.0,5.0,,4.0,4.0,10.0,14.0,3.0,6.0,9.0,,3.0,,18.0,14.0,1.0,90.0,1.0,3.0,19.0,10.0,6.0,19.0,9.0,,1.0,1.0,10.0,1.0,19.0,,1.0,,6.0,1.0,14.0,,2.0,1.0,19.0,,8.0,10.0,48.0,1.0,6.0,2.0,0.0,1.0,6.0,,,,2.0,,,,1.0,,1.0,,1.0,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,6jbob98hqg50s3fg4hug5oel1,G. Chiellini,Defender,14,,10.0,1.0,4.0,14.0,2.0,28.0,,3.0,9.0,,2.0,4.0,13.0,27.0,6.0,90.0,1.0,10.0,11.0,10.0,12.0,7.0,5.0,,1.0,6.0,2.0,1.0,33.0,2.0,1.0,,5.0,,26.0,3.0,,4.0,38.0,4.0,1.0,14.0,59.0,18.0,4.0,1.0,0.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,6nmcuw8asxh6k3l5khx5atmfp,M. Crépeau,Goalkeeper,16,,8.0,4.0,,12.0,1.0,13.0,,,,,,1.0,8.0,9.0,1.0,89.0,,2.0,1.0,10.0,7.0,,,,1.0,8.0,,1.0,11.0,,1.0,1.0,,,5.0,,6.0,,21.0,,,1.0,27.0,14.0,4.0,,0.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,9.0,3.0,9.0,3.0,,,,,,,,,,2.0,
Concacaf_Campeones_Cup,2023,Los Angeles FC,er0xm9k5zv8kcvcy7bnwp086i,E. Dueñas,Defender,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,b04uukw5ec0mngnwqjih7oqac,L. Flores,Forward,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,82sayfife5cfdk9isox5gg8ut,R. Hollingshead,Defender,24,6.0,5.0,2.0,4.0,11.0,2.0,32.0,1.0,1.0,11.0,,1.0,3.0,9.0,30.0,1.0,90.0,1.0,2.0,13.0,10.0,6.0,10.0,8.0,1.0,1.0,1.0,2.0,1.0,37.0,3.0,1.0,,17.0,,32.0,7.0,3.0,2.0,37.0,3.0,1.0,21.0,61.0,13.0,6.0,,0.0,1.0,,4.0,,,1.0,,,,,1.0,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,f59t4bsy21u3d4n319rd6rfqi,F. Krastev,Midfielder,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,cgq6c4c89nrl1nfucnb6x785,A. Long,Defender,33,,8.0,1.0,2.0,14.0,1.0,17.0,,2.0,5.0,,1.0,3.0,8.0,16.0,6.0,90.0,1.0,6.0,6.0,10.0,5.0,3.0,3.0,,1.0,6.0,,1.0,22.0,1.0,1.0,1.0,7.0,,14.0,2.0,2.0,1.0,25.0,2.0,,3.0,37.0,11.0,2.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,46ax1wehohnsnxef6nk4y3uuh,D. Maldonado,Defender,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,br9ewy459g6kw8tx8jghbfx79,J. McCarthy,Goalkeeper,77,,,,,,,,,,,,,,,,,1.0,,,,10.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,6gm6xblgacwqj5shxup2giy1h,J. Murillo,Defender,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,cqwdk0w7mxdt5xs3kefcp2f6y,C. Olivera,Midfielder,25,,3.0,,3.0,2.0,9.0,11.0,3.0,6.0,4.0,3.0,2.0,2.0,18.0,11.0,,77.0,,5.0,13.0,10.0,2.0,11.0,4.0,,1.0,,7.0,1.0,14.0,,1.0,2.0,2.0,,11.0,1.0,2.0,,14.0,,4.0,9.0,37.0,4.0,5.0,2.0,0.0,,1.0,1.0,,,2.0,4.0,1.0,1.0,,1.0,1.0,4.0,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Los Angeles FC,36e17qrefearxp7lxb1eibwbu,N. Ordaz,Forward,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
