liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Substitute On,Successful Lay-offs,Successful Launches,Goals,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Throw Ins to Own Player,Throw Ins to Opposition Player,Offsides,Goals from Outside Box,Attempts from Set Pieces,Left Foot Goals,Headed Goals,Handballs conceded,Hit Woodwork,Penalties Taken,Penalty Goals,GK Successful Distribution,Total Red Cards,Red Cards - 2nd Yellow,Penalties Conceded,Unsuccessful lay-offs,Saves Made,Crosses not Claimed,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Own Goal Scored,Clearances Off the Line,Straight Red Cards,Penalties Saved,Saves from Penalty,Set Pieces Goals,Foul Won Penalty,Last Man Tackle,Second Goal Assists,Penalties Off Target,Times Tackled,Penalty Goals Conceded,Home Goals,Away Goals,Winning Goal,Overruns,Goal Kicks,Other Goals
Mexico_Liga_MX,2016-2017,CF Pachuca,aevk7yjo0gjbppcpqeb0siead,É. Aguirre,Defender,14,8.0,530.0,7.0,4.0,1.0,,,258.0,4.0,32.0,1.0,148.0,6.0,,11.0,4.0,4.0,,4.0,69.0,72.0,15.0,36.0,266.0,1.0,5.0,7.0,205.0,7.0,4.0,47.0,,91.0,4.0,43.0,2.0,25.0,5.0,13.0,12.0,384.0,,12.0,2.0,1.0,44.0,102.0,7.0,10.0,29.0,,14.0,1.0,3.0,4.0,2.0,52.0,11.0,7.0,8.0,12.0,,1.0,19.0,41.0,,211.0,219.0,8.0,,1.0,,12.0,23.0,3.0,9.0,25.0,33.0,4.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Mexico_Liga_MX,2016-2017,CF Pachuca,asm07nms0t3abdnox6hp8y40l,S. Almeida,Midfielder,14,3.0,127.0,,,,,,32.0,,11.0,2.0,14.0,1.0,,1.0,1.0,1.0,,3.0,17.0,15.0,2.0,4.0,32.0,2.0,2.0,4.0,27.0,1.0,3.0,5.0,,13.0,1.0,5.0,,7.0,2.0,2.0,3.0,68.0,,2.0,1.0,,19.0,5.0,5.0,10.0,11.0,2.0,,2.0,4.0,1.0,3.0,23.0,1.0,1.0,3.0,2.0,,,9.0,3.0,,27.0,27.0,4.0,,,,1.0,12.0,1.0,3.0,10.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,CF Pachuca,ai1q7eeu5k90x364z6g4bxl91,A. Blanco,Goalkeeper,13,,90.0,,,1.0,,,16.0,,,,2.0,3.0,,14.0,,,1.0,,15.0,17.0,,,33.0,,,,13.0,,,14.0,,8.0,,9.0,,3.0,1.0,,5.0,37.0,,1.0,,,,20.0,,10.0,,,6.0,,,,,,,1.0,,1.0,,,,5.0,,12.0,19.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,2.0,,,,,,,1.0,2.0,,,10.0,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,CF Pachuca,57q6t05rvn7xnrel90osqfljp,R. Botta,Midfielder,11,2.0,280.0,9.0,5.0,,3.0,,108.0,3.0,15.0,3.0,62.0,1.0,,11.0,2.0,6.0,,2.0,52.0,23.0,7.0,19.0,112.0,2.0,3.0,7.0,74.0,7.0,11.0,30.0,1.0,25.0,3.0,30.0,2.0,13.0,2.0,4.0,3.0,183.0,3.0,11.0,2.0,,35.0,41.0,9.0,10.0,19.0,5.0,8.0,2.0,4.0,1.0,5.0,38.0,1.0,7.0,3.0,11.0,1.0,,17.0,31.0,2.0,79.0,82.0,3.0,,,1.0,7.0,19.0,,1.0,18.0,3.0,,1.0,1.0,1.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,CF Pachuca,2e14x64zf30rgadc9ylbnll2h,J. Calero,Midfielder,27,2.0,174.0,10.0,5.0,,2.0,2.0,45.0,4.0,13.0,,29.0,1.0,1.0,2.0,,2.0,,3.0,33.0,2.0,1.0,12.0,45.0,,7.0,3.0,29.0,2.0,6.0,14.0,,13.0,1.0,12.0,,10.0,,2.0,4.0,80.0,,10.0,4.0,,22.0,11.0,11.0,10.0,9.0,4.0,2.0,,3.0,2.0,2.0,27.0,2.0,2.0,2.0,10.0,,,15.0,8.0,2.0,31.0,31.0,5.0,,,,1.0,18.0,,1.0,7.0,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,CF Pachuca,73ffdzeslizj3vj7pv94071sl,J. Esquivel,Defender,3,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,10.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,CF Pachuca,812cfca16y8nduhqknui82ead,A. Estrada,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,CF Pachuca,gf82wdzqavhxj3iazy4vgst1,E. García,Midfielder,12,7.0,1410.0,,1.0,10.0,,,670.0,3.0,80.0,4.0,337.0,16.0,1.0,32.0,9.0,2.0,3.0,13.0,159.0,262.0,36.0,68.0,695.0,1.0,17.0,16.0,546.0,15.0,3.0,100.0,,283.0,12.0,73.0,,88.0,16.0,23.0,34.0,1098.0,,16.0,7.0,3.0,122.0,314.0,3.0,10.0,91.0,1.0,49.0,4.0,30.0,10.0,9.0,145.0,24.0,18.0,7.0,16.0,,,41.0,18.0,,572.0,595.0,23.0,6.0,,1.0,32.0,54.0,4.0,48.0,81.0,137.0,17.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,CF Pachuca,5ywmuj75fpflsqyne41dsgpg5,O. González,Defender,4,1.0,1462.0,,,10.0,,,465.0,2.0,34.0,,147.0,23.0,3.0,63.0,2.0,6.0,2.0,20.0,128.0,228.0,11.0,40.0,478.0,3.0,12.0,2.0,331.0,15.0,8.0,103.0,,67.0,1.0,78.0,2.0,36.0,17.0,7.0,26.0,626.0,,17.0,4.0,12.0,43.0,249.0,18.0,10.0,37.0,2.0,44.0,,10.0,15.0,2.0,78.0,51.0,17.0,1.0,17.0,,1.0,21.0,128.0,,365.0,375.0,35.0,5.0,1.0,,7.0,41.0,4.0,26.0,22.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,CF Pachuca,p15qbnfeurims9pb39caem09,Mateus Gonçalves,Forward,9,1.0,53.0,2.0,,,,,10.0,,4.0,,5.0,,,,,,,,12.0,2.0,,3.0,10.0,,,5.0,6.0,1.0,,3.0,,4.0,1.0,2.0,,2.0,,,2.0,26.0,,2.0,,,14.0,1.0,5.0,10.0,7.0,,1.0,,2.0,,6.0,14.0,,1.0,1.0,2.0,,,7.0,1.0,,7.0,7.0,,,,,,7.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
