liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Total Red Cards,Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Straight Red Cards,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Winning Goal,Right Foot Goals,Red Cards - 2nd Yellow,Goals from Outside Box,Headed Goals,Throw Ins to Opposition Player,Unsuccessful lay-offs,Foul Won Penalty,Penalties Taken,Penalty Goals,GK Successful Distribution,Attempts from Set Pieces,Saves Made,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Clean Sheets,Second Goal Assists,Clearances Off the Line,Last Man Tackle,Own Goal Scored,Crosses not Claimed,Set Pieces Goals,Other Goals,Penalties Off Target,Home Goals,Away Goals
USA_USL_Championship,2020,New York Red Bulls II,ahza0fhih4ok1x14o28sk5p4a,P. Kilwien,Defender,55,3.0,,926.0,6.0,3.0,,10.0,1.0,509.0,,2.0,30.0,1.0,153.0,19.0,6.0,58.0,7.0,2.0,3.0,17.0,145.0,272.0,11.0,68.0,3.0,550.0,1.0,16.0,3.0,375.0,23.0,5.0,126.0,,162.0,2.0,,87.0,,67.0,9.0,10.0,42.0,694.0,,12.0,5.0,10.0,39.0,249.0,6.0,10.0,49.0,3.0,49.0,1.0,5.0,,31.0,1.0,87.0,38.0,26.0,1.0,3.0,12.0,,,,,21.0,109.0,1.0,392.0,424.0,48.0,,,3.0,38.0,8.0,20.0,18.0,0.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,2ug51dfg4oerpnbudnkw497je,J. LaCava,Midfielder,64,16.0,4.0,909.0,6.0,5.0,3.0,,5.0,169.0,16.0,23.0,30.0,2.0,76.0,,1.0,7.0,8.0,11.0,4.0,23.0,149.0,26.0,12.0,66.0,4.0,173.0,6.0,10.0,15.0,94.0,23.0,28.0,73.0,,50.0,13.0,,75.0,11.0,44.0,10.0,18.0,14.0,365.0,1.0,15.0,8.0,,88.0,54.0,61.0,10.0,43.0,17.0,6.0,2.0,9.0,,8.0,9.0,119.0,3.0,27.0,3.0,16.0,15.0,,,1.0,1.0,53.0,39.0,5.0,96.0,100.0,31.0,3.0,1.0,6.0,76.0,6.0,2.0,35.0,0.0,2.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,8q1x8z8d3c04jymsfc73o1qll,W. Lapsley,Goalkeeper,65,,,915.0,,,,12.0,,110.0,,,,,9.0,34.0,,65.0,,,4.0,1.0,69.0,132.0,1.0,2.0,1.0,208.0,,1.0,,103.0,15.0,,67.0,,38.0,,1.0,36.0,,105.0,11.0,2.0,31.0,316.0,,11.0,,,1.0,117.0,,10.0,3.0,,38.0,,,1.0,2.0,,4.0,4.0,19.0,,,11.0,,1.0,,,,53.0,,73.0,141.0,3.0,,,,1.0,1.0,,1.0,0.0,,,,,,,,,,125.0,,25.0,,2.0,,2.0,1.0,4.0,9.0,6.0,16.0,1.0,,,16.0,1.0,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,2s7edbhpwq4o06ruck7yk9ilm,B. Lebel,Midfielder,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,blkv6e7kxgewxff7lpfhvliol,C. Lema,Midfielder,80,2.0,,831.0,1.0,1.0,2.0,2.0,,371.0,6.0,10.0,41.0,23.0,224.0,12.0,,32.0,21.0,4.0,4.0,6.0,185.0,101.0,19.0,80.0,2.0,414.0,2.0,14.0,7.0,276.0,18.0,7.0,112.0,16.0,91.0,20.0,1.0,125.0,2.0,83.0,10.0,33.0,25.0,624.0,47.0,11.0,9.0,1.0,85.0,190.0,5.0,10.0,51.0,3.0,26.0,2.0,18.0,1.0,7.0,3.0,98.0,5.0,22.0,,38.0,11.0,26.0,1.0,,2.0,41.0,92.0,,262.0,302.0,13.0,2.0,1.0,12.0,47.0,7.0,12.0,44.0,0.0,,,,,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,8nd77kbjfs24e2fibjs5ebbsa,L. Lewis,Goalkeeper,50,,,251.0,,,,3.0,,29.0,,,,,2.0,8.0,,11.0,,,1.0,,12.0,37.0,,,3.0,50.0,1.0,,,32.0,7.0,,11.0,,12.0,,,6.0,,26.0,3.0,,5.0,87.0,,3.0,,,,19.0,,10.0,3.0,,7.0,,1.0,,3.0,,3.0,5.0,8.0,,,3.0,,,,,,19.0,,23.0,39.0,3.0,,,,,,,,0.0,,,,,,,,,,34.0,,10.0,,4.0,,,,,3.0,6.0,7.0,3.0,,1.0,2.0,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,3y5650rx37d3hnh3sxzhaz7xl,B. Mines,Midfielder,17,2.0,1.0,90.0,2.0,,,,,24.0,1.0,5.0,6.0,1.0,14.0,,,,1.0,1.0,,,17.0,5.0,1.0,7.0,,25.0,,,,18.0,1.0,1.0,7.0,,1.0,,,6.0,,1.0,1.0,1.0,3.0,46.0,,1.0,,,7.0,10.0,1.0,10.0,4.0,,,1.0,1.0,,2.0,3.0,9.0,,1.0,,2.0,1.0,,,,,5.0,8.0,,17.0,18.0,2.0,,,,5.0,1.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,64vrzsvixp5cvq9b7ol723zkl,A. Muyl,Forward,19,3.0,,90.0,,,,,,37.0,,3.0,7.0,,21.0,1.0,1.0,1.0,2.0,1.0,,3.0,24.0,5.0,1.0,11.0,,38.0,,3.0,1.0,26.0,1.0,1.0,12.0,,11.0,1.0,,14.0,1.0,9.0,1.0,7.0,1.0,66.0,,1.0,1.0,,13.0,11.0,7.0,10.0,10.0,,,,7.0,,3.0,2.0,19.0,1.0,1.0,,3.0,1.0,,1.0,,,6.0,9.0,,25.0,26.0,6.0,,,1.0,9.0,,,7.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,9wbvxouihvosteku6wwg7usfe,S. Ngoma,Midfielder,0,,,49.0,,3.0,,,,8.0,1.0,2.0,4.0,,2.0,,,,,,,2.0,7.0,5.0,,2.0,,9.0,,1.0,1.0,7.0,1.0,,2.0,,,,,2.0,,2.0,,,,18.0,,3.0,,,6.0,4.0,2.0,10.0,4.0,,,,2.0,,1.0,2.0,9.0,,1.0,,,3.0,,,,,3.0,1.0,,6.0,7.0,3.0,,,,5.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,6nceim2fw842qkracdr57d4ut,E. Rito,Defender,72,10.0,1.0,781.0,84.0,4.0,2.0,4.0,,337.0,4.0,30.0,51.0,1.0,144.0,14.0,3.0,27.0,8.0,,6.0,8.0,197.0,106.0,20.0,63.0,3.0,339.0,3.0,9.0,13.0,229.0,17.0,,90.0,,8.0,6.0,,77.0,2.0,52.0,8.0,23.0,23.0,627.0,,12.0,5.0,1.0,93.0,140.0,15.0,10.0,52.0,,20.0,1.0,13.0,,6.0,20.0,107.0,8.0,23.0,,10.0,12.0,,1.0,,,47.0,140.0,,247.0,249.0,14.0,,,10.0,55.0,10.0,14.0,46.0,0.0,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,dz8n9blpy11bxsqthud08ed7u,B. Sharifi,Midfielder,66,6.0,,711.0,,3.0,2.0,1.0,,291.0,3.0,9.0,26.0,3.0,152.0,5.0,,25.0,10.0,2.0,3.0,7.0,129.0,60.0,14.0,64.0,2.0,298.0,5.0,9.0,7.0,195.0,14.0,2.0,89.0,,56.0,9.0,,82.0,1.0,66.0,8.0,19.0,18.0,419.0,3.0,11.0,4.0,5.0,61.0,153.0,3.0,10.0,36.0,,14.0,2.0,9.0,,6.0,5.0,74.0,3.0,17.0,,11.0,11.0,2.0,,,,31.0,63.0,,203.0,209.0,13.0,,1.0,8.0,38.0,6.0,10.0,30.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,6uk0u9eoz34bqdcwlyamp0vvu,T. Shumba,Defender,86,1.0,,92.0,7.0,3.0,1.0,1.0,,34.0,,1.0,8.0,,13.0,1.0,,1.0,1.0,,,3.0,17.0,11.0,4.0,9.0,,34.0,1.0,,4.0,23.0,2.0,,10.0,,7.0,,,8.0,1.0,7.0,1.0,3.0,3.0,66.0,,4.0,,,12.0,12.0,,10.0,10.0,,1.0,,2.0,,,1.0,15.0,1.0,2.0,,1.0,4.0,,,,,2.0,7.0,,24.0,24.0,3.0,,,3.0,5.0,1.0,2.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,5a46l54k7thot9nuooda0abu2,O. Sowe,Forward,67,7.0,6.0,749.0,7.0,5.0,4.0,1.0,7.0,187.0,6.0,31.0,36.0,2.0,98.0,2.0,2.0,7.0,7.0,8.0,4.0,22.0,142.0,31.0,5.0,68.0,2.0,202.0,7.0,14.0,22.0,117.0,15.0,20.0,75.0,,39.0,19.0,,73.0,5.0,22.0,9.0,16.0,10.0,371.0,,14.0,8.0,,81.0,68.0,51.0,10.0,49.0,12.0,10.0,2.0,9.0,,13.0,14.0,116.0,5.0,19.0,1.0,8.0,14.0,,1.0,1.0,,45.0,59.0,7.0,112.0,127.0,35.0,,1.0,4.0,67.0,1.0,4.0,36.0,1.0,5.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,23pxtcocf0xyxeh31ac3hxgx5,J. Stroud,Midfielder,8,6.0,,90.0,4.0,,,,,43.0,3.0,3.0,9.0,2.0,27.0,,,2.0,,,,,27.0,10.0,,8.0,,45.0,,1.0,2.0,34.0,1.0,,10.0,,13.0,2.0,,19.0,,,1.0,2.0,1.0,71.0,4.0,1.0,,,7.0,18.0,3.0,10.0,3.0,,1.0,2.0,1.0,,,3.0,7.0,,1.0,,10.0,1.0,4.0,,,,4.0,5.0,,34.0,35.0,,,,,4.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,4xs77e574mfyhel01usnjq7e,J. Tolkin,Defender,47,22.0,,981.0,96.0,,,4.0,,409.0,3.0,20.0,52.0,10.0,175.0,16.0,,33.0,14.0,5.0,6.0,10.0,205.0,154.0,21.0,79.0,5.0,431.0,5.0,7.0,5.0,273.0,25.0,6.0,112.0,4.0,157.0,11.0,,97.0,2.0,66.0,12.0,29.0,43.0,775.0,8.0,12.0,5.0,3.0,87.0,195.0,3.0,10.0,60.0,1.0,46.0,5.0,20.0,,15.0,9.0,112.0,18.0,31.0,,28.0,12.0,3.0,2.0,,1.0,42.0,27.0,,298.0,319.0,25.0,1.0,,14.0,52.0,7.0,26.0,45.0,0.0,,,,,23.0,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,d1xbknrhqh2ohxrsz5j4j2a22,D. Toure,Midfielder,96,4.0,2.0,621.0,4.0,7.0,1.0,1.0,3.0,110.0,8.0,31.0,18.0,1.0,57.0,,1.0,2.0,15.0,6.0,2.0,14.0,128.0,15.0,11.0,38.0,2.0,111.0,4.0,18.0,10.0,65.0,15.0,12.0,40.0,,39.0,3.0,,36.0,2.0,31.0,6.0,29.0,8.0,297.0,,13.0,11.0,,98.0,31.0,34.0,10.0,42.0,6.0,6.0,1.0,18.0,,3.0,17.0,115.0,2.0,17.0,3.0,4.0,13.0,,,1.0,3.0,59.0,23.0,3.0,70.0,71.0,17.0,3.0,,8.0,73.0,3.0,2.0,39.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,b6wubpswibczpr543g6rmof6d,K. Zajec,Midfielder,51,1.0,,336.0,,,4.0,2.0,,217.0,,4.0,26.0,7.0,117.0,8.0,,13.0,4.0,,,9.0,66.0,74.0,2.0,33.0,,230.0,2.0,2.0,2.0,166.0,4.0,,46.0,5.0,60.0,9.0,,42.0,,35.0,4.0,7.0,16.0,295.0,15.0,4.0,1.0,1.0,19.0,80.0,1.0,10.0,20.0,,18.0,1.0,10.0,,6.0,,34.0,2.0,4.0,,12.0,4.0,8.0,,,1.0,5.0,64.0,,172.0,184.0,15.0,1.0,,1.0,14.0,1.0,8.0,14.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,New York Red Bulls II,k8fxkk7wc7m7cdq80hdfniwa,J. Zalinsky,Midfielder,85,2.0,,524.0,5.0,,,6.0,,255.0,,3.0,14.0,,76.0,28.0,2.0,43.0,2.0,,3.0,5.0,91.0,116.0,8.0,38.0,3.0,273.0,1.0,9.0,2.0,163.0,14.0,,81.0,,33.0,1.0,,53.0,,28.0,6.0,5.0,30.0,362.0,,6.0,6.0,5.0,38.0,158.0,,10.0,33.0,,29.0,,10.0,,13.0,2.0,56.0,25.0,17.0,,2.0,6.0,,,,,18.0,68.0,,175.0,192.0,18.0,,,7.0,23.0,1.0,16.0,20.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
