liga,temporada,equipo,id,nombre,posicion,dorsal,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Through balls,Total Clearances,Penalty Goals Conceded,Unsuccessful Passes Own Half,Successful Long Passes,Index,Clean Sheets,Leftside Passes,Unsuccessful Launches,Successful Dribbles,Open Play Passes,Interceptions,PutThrough/Blocked Distribution Won,Successful Passes Own Half,Successful Open Play Passes,Aerial Duels lost,Total Fouls Won,Key Passes (Attempt Assists),Blocks,Unsuccessful Long Passes,Times Tackled,Tackles Won,Successful Short Passes,Goals Conceded Outside Box,Throw Ins to Own Player,PutThrough/Blocked Distribution,Successful Launches,Goals Conceded Inside Box,Ground Duels lost,Blocked Shots,Total Fouls Conceded,Total Losses Of Possession,Unsuccessful Short Passes,Successful Crosses & Corners,Total Tackles,Starts,Successful Crosses open play,Recoveries,Unsuccessful Passes Opposition Half,Forward Passes,Tackles Lost,Touches,Time Played,Successful Passes Opposition Half,Goals Conceded,Appearances,Substitute Off,Games Played,Duels lost,Aerial Duels,Backward Passes,Substitute On,Foul Attempted Tackle,Corners Won,Total Successful Passes ( Excl Crosses & Corners ) ,Total Passes,Ground Duels,Ground Duels won,Rightside Passes,Duels,Unsuccessful Dribbles,Total Touches In Opposition Box,Duels won,Throw Ins to Opposition Player,Winning Goal,Penalties Faced,Yellow Cards,Saves made - caught,Catches,Goal Kicks,Saves Made from Inside Box,Punches,Saves Made,Saves Made from Outside Box,Crosses not Claimed,Aerial Duels won,GK Unsuccessful Distribution,Drops,Saves made - parried,GK Successful Distribution,Total Shots,Shots Off Target (inc woodwork),Assists (Intentional),Offsides,Foul Won Penalty,Hit Woodwork,Attempts from Set Pieces,Unsuccessful Corners into Box,Goals from Inside Box,Successful Corners into Box,Right Foot Goals,Goals,Shots On Target ( inc goals ),Second Goal Assists,Corners Taken (incl short corners),Headed Goals,Unsuccessful lay-offs,Handballs conceded,Penalties Taken,Successful Lay-offs,Goal Assists,Home Goals,Away Goals,Red Cards - 2nd Yellow,Goals from Outside Box,Total Red Cards,Other Goals,Set Pieces Goals,Penalties Off Target,Penalties Conceded,Own Goal Scored,Left Foot Goals,Clearances Off the Line,Last Man Tackle,Straight Red Cards,Penalty Goals,Saves from Penalty,Penalties Saved,Goalkeeper Smother
USA_USL_League_One,2022,Charlotte Independence,3tufsrejg0sddkpj3ibf74qju,C. Dimick,Defender,17,202.0,20.0,20.0,1.0,55.0,7.0,67.0,74.0,10.0,6.0,405.0,30.0,4.0,1391.0,37.0,20.0,666.0,1191.0,30.0,21.0,23.0,12.0,82.0,13.0,21.0,1150.0,6.0,123.0,38.0,3.0,44.0,53.0,1.0,19.0,277.0,120.0,9.0,28.0,31.0,9.0,114.0,155.0,517.0,7.0,1845.0,2782.0,567.0,50.0,31.0,1.0,31.0,83.0,63.0,226.0,,10.0,8.0,1224.0,1426.0,103.0,50.0,278.0,166.0,9.0,25.0,83.0,22.0,0.0,,5.0,,,,,,,,,33.0,,,,,5.0,3.0,,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,21ieu51sk5euvb02y0zedmt7u,S. Dutey,Defender,5,256.0,2.0,2.0,1.0,99.0,5.0,67.0,142.0,10.0,5.0,226.0,45.0,6.0,1301.0,37.0,12.0,756.0,1053.0,27.0,23.0,3.0,28.0,164.0,7.0,20.0,950.0,4.0,4.0,23.0,11.0,37.0,58.0,5.0,44.0,286.0,92.0,1.0,31.0,28.0,1.0,161.0,191.0,565.0,11.0,1684.0,2505.0,337.0,41.0,28.0,2.0,28.0,85.0,66.0,72.0,,14.0,3.0,1092.0,1348.0,118.0,60.0,485.0,184.0,4.0,23.0,99.0,1.0,1.0,,11.0,,,,,,,,,39.0,,,,,18.0,10.0,,,,,,,3.0,,1.0,3.0,8.0,,,1.0,,1.0,,,,2.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,Midfielder,13,38.0,35.0,51.0,,2.0,1.0,9.0,34.0,10.0,,139.0,3.0,19.0,439.0,5.0,4.0,112.0,401.0,9.0,49.0,23.0,1.0,6.0,28.0,5.0,397.0,2.0,10.0,6.0,,13.0,52.0,11.0,14.0,148.0,32.0,21.0,8.0,14.0,9.0,57.0,80.0,91.0,3.0,737.0,1089.0,340.0,15.0,14.0,11.0,14.0,61.0,11.0,125.0,,7.0,16.0,431.0,469.0,128.0,76.0,114.0,139.0,12.0,41.0,78.0,,1.0,,4.0,,,,,,,,,2.0,,,,,15.0,8.0,3.0,3.0,1.0,,4.0,8.0,3.0,11.0,2.0,3.0,7.0,,26.0,,,,1.0,3.0,4.0,2.0,1.0,,,,,,,1.0,,1.0,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,bu51rg2ezwrqq6l5t1qvyjcnp,M. Ibarra,Midfielder,10,113.0,14.0,50.0,3.0,19.0,3.0,38.0,53.0,10.0,5.0,230.0,11.0,21.0,949.0,16.0,10.0,357.0,838.0,14.0,14.0,35.0,3.0,32.0,18.0,6.0,821.0,5.0,48.0,20.0,1.0,24.0,42.0,1.0,17.0,213.0,81.0,25.0,13.0,21.0,8.0,107.0,125.0,275.0,7.0,1296.0,1789.0,542.0,29.0,23.0,9.0,23.0,56.0,23.0,205.0,2.0,4.0,4.0,874.0,987.0,90.0,48.0,277.0,113.0,7.0,32.0,57.0,3.0,0.0,,5.0,,,,,,,,,9.0,,,,,11.0,5.0,7.0,3.0,,2.0,2.0,31.0,3.0,15.0,2.0,3.0,6.0,,56.0,,1.0,1.0,1.0,2.0,7.0,3.0,0.0,,,,,,,,,1.0,,,,1.0,,,
USA_USL_League_One,2022,Charlotte Independence,3rds32zf2fsx776oekol5wz1m,D. Jacomen,Goalkeeper,35,9.0,,,,2.0,2.0,4.0,10.0,10.0,,2.0,6.0,,19.0,,,16.0,15.0,,1.0,,,9.0,,,12.0,2.0,,,3.0,7.0,,,,9.0,,,,2.0,,20.0,5.0,26.0,,53.0,180.0,6.0,9.0,2.0,,2.0,,2.0,,,,,22.0,31.0,,,3.0,2.0,,,2.0,,0.0,2.0,,,1.0,6.0,5.0,2.0,7.0,2.0,,2.0,1.0,,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,5eifkrsq3vm9rfubcoo9m0nsa,B. Keenan,Midfielder,25,,,,,,,,,10.0,,2.0,,1.0,5.0,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,7.0,1.0,5.0,,1.0,,1.0,,1.0,1.0,1.0,,,5.0,5.0,1.0,1.0,2.0,2.0,,,2.0,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,zuldhmf95pf7j2na5gyld3ze,I. Luquetta,Forward,9,20.0,3.0,3.0,1.0,1.0,2.0,5.0,,10.0,,30.0,1.0,7.0,88.0,1.0,5.0,30.0,68.0,39.0,6.0,6.0,,2.0,11.0,3.0,78.0,1.0,1.0,6.0,,10.0,20.0,1.0,9.0,56.0,18.0,,4.0,5.0,,18.0,18.0,20.0,1.0,184.0,510.0,48.0,11.0,14.0,5.0,14.0,59.0,54.0,34.0,9.0,,1.0,78.0,98.0,37.0,17.0,14.0,91.0,5.0,26.0,32.0,,0.0,,1.0,,,,,,,,,15.0,,,,,12.0,6.0,,4.0,,,,,2.0,,,2.0,6.0,,,2.0,,1.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,9sfruzqzrq849d4dmr0s259ex,T. Maya,Defender,16,80.0,46.0,49.0,1.0,15.0,4.0,35.0,13.0,10.0,,17.0,5.0,14.0,527.0,19.0,7.0,183.0,447.0,2.0,8.0,12.0,1.0,14.0,33.0,14.0,441.0,4.0,96.0,18.0,3.0,25.0,53.0,5.0,13.0,191.0,66.0,11.0,20.0,12.0,10.0,71.0,94.0,177.0,6.0,871.0,1155.0,282.0,29.0,27.0,8.0,27.0,55.0,13.0,108.0,15.0,8.0,9.0,454.0,534.0,95.0,42.0,232.0,108.0,14.0,5.0,53.0,13.0,0.0,,4.0,,,,,,,,,11.0,,,,,5.0,4.0,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Charlotte Independence,616x42afdja89ng8xzh47dxbd,T. Mbuyu,Midfielder,11,163.0,21.0,21.0,,9.0,4.0,36.0,13.0,10.0,2.0,88.0,13.0,33.0,471.0,19.0,13.0,77.0,308.0,19.0,32.0,22.0,1.0,24.0,91.0,33.0,297.0,4.0,1.0,42.0,3.0,30.0,159.0,18.0,39.0,375.0,139.0,6.0,61.0,26.0,6.0,76.0,148.0,111.0,28.0,964.0,2201.0,239.0,34.0,27.0,14.0,27.0,178.0,30.0,127.0,1.0,25.0,32.0,310.0,473.0,285.0,126.0,147.0,315.0,60.0,177.0,137.0,,1.0,,7.0,,,,,,,,,11.0,,,,,41.0,20.0,5.0,14.0,3.0,1.0,,,11.0,,4.0,11.0,21.0,,,1.0,4.0,1.0,,9.0,5.0,8.0,3.0,,,1.0,1.0,,,,,5.0,,,1.0,,,,
USA_USL_League_One,2022,Charlotte Independence,2o4vyv2eat4xpv1nuk6vnqicq,Q. McNeill,Midfielder,19,115.0,8.0,8.0,,21.0,3.0,26.0,45.0,10.0,2.0,138.0,6.0,19.0,523.0,15.0,8.0,165.0,408.0,21.0,15.0,10.0,3.0,23.0,31.0,10.0,380.0,2.0,2.0,25.0,1.0,15.0,53.0,2.0,9.0,175.0,92.0,2.0,23.0,14.0,2.0,58.0,97.0,164.0,13.0,758.0,1220.0,262.0,17.0,14.0,3.0,14.0,74.0,41.0,99.0,,3.0,5.0,425.0,540.0,110.0,57.0,139.0,151.0,14.0,24.0,77.0,,1.0,,2.0,,,,,,,,,20.0,,,,,17.0,11.0,2.0,,,2.0,,,,,1.0,1.0,6.0,,,,,,,4.0,2.0,0.0,1.0,,1.0,,,,,,,,,,,,,,
