liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Own Goal Scored,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Shots Off Target (inc woodwork),Total Fouls Conceded,Total Shots,PutThrough/Blocked Distribution,Foul Attempted Tackle,Blocks,Total Touches In Opposition Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Substitute On,Goals,Right Foot Goals,Yellow Cards,Goals from Inside Box,Assists (Intentional),Goal Assists,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Substitute Off,Key Passes (Attempt Assists),Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Corners Won,Goals from Outside Box,Penalties Taken,Penalty Goals,Corners Taken (incl short corners),Unsuccessful Corners into Box,Saves Made,GK Successful Distribution,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Goalkeeper Smother,Successful Lay-offs,Total Red Cards,Blocked Shots,Straight Red Cards,Foul Won Penalty,Throw Ins to Opposition Player,Goals Conceded Outside Box,Clean Sheets,Successful Crosses & Corners,Successful Crosses open play,Left Foot Goals,Offsides,Handballs conceded,Hit Woodwork,Unsuccessful lay-offs,Punches,Catches,Saves Made from Outside Box,Through balls,Successful Corners into Box,Saves made - parried,Penalty Goals Conceded,Drops,Penalties Faced,Headed Goals,Penalties Conceded,Second Goal Assists,Red Cards - 2nd Yellow
Concacaf_Leagues_Cup_2019_2022,2019,CF Cruz Azul,14bw0a2azjioiorlbhhhbul05,P. Aguilar,Defender,23,270.0,,159.0,7.0,43.0,5.0,25.0,,11.0,35.0,88.0,2.0,9.0,165.0,,106.0,1.0,34.0,24.0,27.0,10.0,3.0,7.0,196.0,3.0,7.0,72.0,10.0,21.0,25.0,5.0,15.0,33.0,14.0,2.0,3.0,1.0,62.0,127.0,131.0,26.0,2.0,12.0,,2.0,6.0,1.0,,2.0,,1.0,1.0,2.0,3.0,,,,,,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF Cruz Azul,bd9ov8z9402i9cceuu4dv4nv9,A. Aldrete,Defender,16,180.0,9.0,63.0,13.0,31.0,2.0,4.0,,1.0,33.0,21.0,3.0,11.0,65.0,,46.0,1.0,15.0,19.0,18.0,10.0,2.0,4.0,102.0,2.0,9.0,28.0,10.0,5.0,4.0,,2.0,12.0,2.0,2.0,2.0,6.0,5.0,48.0,50.0,3.0,2.0,7.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,7.0,,,,1.0,7.0,,,,,,,,,,,,,,,,,,5.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF Cruz Azul,by4t4rs2gy19p0rvhucdv5d5h,G. Allison,Goalkeeper,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF Cruz Azul,9vvleh9yqqcm955432lsl8c7p,R. Alvarado,Midfielder,25,197.0,1.0,79.0,21.0,41.0,,2.0,,4.0,33.0,24.0,5.0,13.0,80.0,4.0,61.0,,15.0,9.0,12.0,14.0,3.0,3.0,118.0,3.0,24.0,19.0,10.0,14.0,4.0,2.0,3.0,31.0,1.0,1.0,3.0,13.0,31.0,64.0,65.0,7.0,5.0,17.0,,1.0,11.0,,,1.0,1.0,3.0,,,3.0,1.0,,,1.0,,,1.0,,,,2.0,3.0,,5.0,,2.0,,,,,,,,,,,,4.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF Cruz Azul,1sgnb6jzur8xdz6z2zel2luqd,B. Angulo,Midfielder,13,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,1.0,2.0,,10.0,1.0,,,,3.0,,1.0,1.0,1.0,,,,1.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF Cruz Azul,f47fwbxgm35jx628hwpmfdrrp,R. Baca,Midfielder,22,90.0,,21.0,1.0,7.0,1.0,1.0,,,6.0,9.0,1.0,4.0,21.0,,15.0,1.0,5.0,4.0,2.0,4.0,1.0,3.0,26.0,1.0,2.0,8.0,10.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,,8.0,16.0,16.0,,,,1.0,,2.0,,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF Cruz Azul,bgzncyc6929doqcjo47z4stlh,M. Caraglio,Forward,9,266.0,,72.0,23.0,38.0,,,,14.0,40.0,15.0,1.0,22.0,75.0,5.0,53.0,,22.0,12.0,19.0,13.0,3.0,3.0,125.0,3.0,25.0,12.0,10.0,25.0,,5.0,14.0,53.0,2.0,1.0,3.0,14.0,28.0,50.0,53.0,28.0,1.0,28.0,,1.0,11.0,,6.0,10.0,8.0,4.0,4.0,,24.0,2.0,,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,4.0,,2.0,,1.0,,1.0,,,,,3.0,3.0,1.0,2.0,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF Cruz Azul,f3ny04nibnd8fus3t4a2viy8l,M. Cauteruccio,Forward,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF Cruz Azul,2lsqo8x3mbz4shb8nuv5catp1,Jesús Corona,Goalkeeper,1,270.0,,37.0,,18.0,12.0,16.0,,,18.0,40.0,,,74.0,,36.0,1.0,16.0,13.0,13.0,9.0,3.0,3.0,87.0,3.0,2.0,49.0,10.0,2.0,22.0,2.0,,2.0,1.0,2.0,3.0,,12.0,28.0,58.0,,,,,,2.0,8.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,18.0,2.0,,5.0,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF Cruz Azul,dmqmxkyprphad4zlbcv0igcet,J. Domínguez,Defender,4,270.0,6.0,148.0,9.0,48.0,3.0,6.0,,9.0,17.0,88.0,1.0,10.0,152.0,,123.0,1.0,16.0,41.0,7.0,27.0,3.0,9.0,184.0,3.0,7.0,59.0,10.0,9.0,13.0,3.0,5.0,21.0,14.0,2.0,3.0,3.0,43.0,132.0,136.0,14.0,1.0,12.0,,4.0,4.0,1.0,,4.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
