liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Throw Ins to Opposition Player,Offsides,Goals,Right Foot Goals,Yellow Cards,Successful Corners into Box,Left Foot Goals,Foul Won Penalty,Handballs conceded,Goals from Inside Box,Penalties Taken,Penalty Goals,Penalties Conceded,Total Red Cards,Straight Red Cards,Unsuccessful lay-offs,Headed Goals,Saves Made,GK Successful Distribution,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Clearances Off the Line,Penalty Goals Conceded,Winning Goal,Times Tackled,Overruns,Own Goal Scored,Second Goal Assists,Home Goals,Away Goals,Saves from Penalty,Penalties Saved,Goal Kicks,Goals from Outside Box,Goalkeeper Smother,Crosses not Claimed,Red Cards - 2nd Yellow,Set Pieces Goals,Last Player Tackle,Penalties Off Target,Other Goals
Mexico_Liga_MX,2018-2019,CF América,9l8qfxmpixwldis1pfua1fs2d,P. Aguilar,Defender,22,17.0,1800.0,135.0,,,3.0,741.0,10.0,104.0,3.0,372.0,16.0,54.0,14.0,9.0,3.0,17.0,247.0,229.0,43.0,94.0,746.0,,22.0,9.0,538.0,17.0,14.0,148.0,74.0,5.0,122.0,7.0,83.0,20.0,33.0,44.0,1202.0,1.0,20.0,14.0,4.0,131.0,363.0,29.0,10.0,102.0,5.0,,60.0,3.0,18.0,34.0,11.0,182.0,37.0,20.0,18.0,20.0,1.0,,,63.0,205.0,594.0,598.0,51.0,6.0,2.0,1.0,26.0,80.0,17.0,29.0,68.0,30.0,2.0,1.0,1.0,3.0,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,24.0,5.0,,,1.0,0.0,,,,1.0,,,,,,,
Mexico_Liga_MX,2018-2019,CF América,6l5na1ucaovnml3tqjdyysbth,E. Aguilera,Defender,19,,1501.0,12.0,1.0,,14.0,538.0,1.0,41.0,,126.0,31.0,55.0,2.0,5.0,3.0,18.0,122.0,348.0,24.0,44.0,573.0,2.0,14.0,4.0,417.0,16.0,11.0,99.0,233.0,1.0,63.0,1.0,67.0,17.0,8.0,36.0,770.0,,18.0,6.0,5.0,58.0,202.0,7.0,10.0,67.0,6.0,7.0,57.0,,7.0,32.0,,108.0,70.0,19.0,,18.0,,,1.0,23.0,97.0,445.0,474.0,50.0,5.0,1.0,,16.0,41.0,8.0,31.0,35.0,7.0,,5.0,4.0,4.0,,,,,3.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,2.0,1.0,5.0,,,1.0,3.0,2.0,,,,2.0,,,,2.0,,,
Mexico_Liga_MX,2018-2019,CF América,8zam953ryucmo8is0aknhovyt,P. Arce,Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,CF América,c1pfk47z2ozitpqhxmbe98jbp,Joe Corona,Midfielder,14,2.0,489.0,2.0,5.0,1.0,,146.0,2.0,16.0,6.0,82.0,3.0,7.0,4.0,2.0,1.0,12.0,68.0,43.0,21.0,25.0,151.0,2.0,13.0,6.0,110.0,4.0,3.0,32.0,39.0,9.0,27.0,1.0,37.0,5.0,8.0,13.0,269.0,6.0,10.0,9.0,1.0,74.0,63.0,2.0,10.0,43.0,1.0,1.0,9.0,2.0,12.0,4.0,2.0,90.0,6.0,5.0,8.0,10.0,3.0,,1.0,35.0,33.0,117.0,119.0,16.0,1.0,1.0,,13.0,47.0,8.0,8.0,39.0,2.0,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.0,1.0,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,CF América,dta2hcu8sq62dx9diax5shk9,S. Córdova,Midfielder,17,6.0,334.0,4.0,6.0,3.0,,164.0,3.0,40.0,1.0,87.0,1.0,2.0,4.0,2.0,,6.0,69.0,53.0,6.0,26.0,167.0,3.0,8.0,4.0,133.0,4.0,6.0,28.0,39.0,5.0,30.0,1.0,23.0,3.0,10.0,7.0,264.0,6.0,9.0,4.0,,47.0,28.0,4.0,10.0,26.0,4.0,,6.0,,12.0,4.0,7.0,57.0,2.0,4.0,9.0,9.0,3.0,,,25.0,60.0,136.0,139.0,10.0,,,,5.0,31.0,1.0,5.0,22.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,14.0,4.0,,,0.0,1.0,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,CF América,cfth80ffvgnveork3pqd14atx,C. Domínguez,Midfielder,10,11.0,812.0,,10.0,5.0,,245.0,17.0,76.0,7.0,151.0,1.0,5.0,7.0,11.0,1.0,4.0,153.0,48.0,22.0,59.0,256.0,6.0,18.0,21.0,181.0,10.0,25.0,64.0,88.0,14.0,67.0,6.0,39.0,8.0,21.0,15.0,466.0,15.0,18.0,11.0,1.0,122.0,60.0,49.0,10.0,60.0,14.0,1.0,11.0,1.0,15.0,2.0,17.0,128.0,3.0,11.0,18.0,18.0,7.0,,1.0,64.0,32.0,184.0,192.0,6.0,,3.0,,16.0,68.0,6.0,5.0,58.0,1.0,2.0,1.0,1.0,3.0,6.0,,1.0,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,3.0,0.0,35.0,9.0,,,0.0,1.0,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,CF América,am6blpv9h0wzsn8rjv1q0zpp1,A. Díaz,Forward,26,1.0,107.0,,4.0,1.0,,31.0,2.0,9.0,,20.0,,1.0,,1.0,,2.0,19.0,7.0,1.0,5.0,33.0,,2.0,,26.0,4.0,1.0,6.0,10.0,,7.0,2.0,2.0,,1.0,,53.0,,4.0,1.0,,7.0,3.0,5.0,10.0,3.0,,,1.0,,,2.0,1.0,11.0,,4.0,1.0,4.0,,,,6.0,11.0,26.0,27.0,4.0,,,,,8.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,CF América,evsi15yzlgsbn8fj4phrhi39,R. González,Midfielder,25,,1530.0,6.0,,6.0,5.0,990.0,2.0,114.0,1.0,461.0,12.0,28.0,13.0,3.0,1.0,22.0,156.0,442.0,44.0,93.0,1023.0,,36.0,6.0,843.0,28.0,4.0,121.0,322.0,19.0,79.0,2.0,107.0,17.0,29.0,42.0,1241.0,,17.0,31.0,7.0,134.0,320.0,1.0,10.0,82.0,1.0,,59.0,1.0,13.0,19.0,1.0,175.0,33.0,29.0,,17.0,,,,71.0,267.0,870.0,902.0,41.0,3.0,,,32.0,93.0,12.0,36.0,63.0,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,4.0,0.0,15.0,1.0,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,CF América,9qh4midddu6enc535esmmlmcq,J. Guillén,Midfielder,286,,8.0,,1.0,,,2.0,,,,,,,,,,,,2.0,,,2.0,,,,2.0,1.0,,,,,,,,,,,2.0,,1.0,,,,,,10.0,,,,,,,,,,,1.0,,1.0,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,CF América,5z26irv4mcfunhwbzt4woai5m,J. Clemente,Midfielder,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,CF América,elow2avgk966z580pispq374l,A. Ibargüen,Midfielder,11,13.0,1189.0,7.0,6.0,4.0,,337.0,8.0,80.0,4.0,173.0,5.0,12.0,8.0,6.0,1.0,5.0,180.0,97.0,17.0,62.0,340.0,5.0,7.0,26.0,251.0,10.0,22.0,74.0,108.0,13.0,76.0,6.0,72.0,14.0,20.0,14.0,585.0,3.0,20.0,4.0,,131.0,88.0,69.0,10.0,72.0,16.0,,15.0,3.0,19.0,10.0,29.0,146.0,2.0,11.0,16.0,20.0,2.0,,2.0,69.0,64.0,264.0,266.0,15.0,5.0,2.0,1.0,13.0,74.0,4.0,9.0,62.0,,2.0,3.0,2.0,2.0,1.0,1.0,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,0.0,54.0,3.0,,,3.0,0.0,,,,,,,,,,,
