liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Ground Duels,Forward Passes,Index,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Duels lost,Interceptions,Unsuccessful Crosses open play,Throw Ins to Own Player,Corners Won,Successful Crosses & Corners,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Successful Dribbles,Total Shots,Key Passes (Attempt Assists),Blocked Shots,Throw Ins to Opposition Player,Total Touches In Opposition Box,Duels won,Successful Long Passes,Successful Crosses open play,Aerial Duels won,Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Aerial Duels,Ground Duels won,Goals,Right Foot Goals,PutThrough/Blocked Distribution Won,Total Tackles,Successful Corners into Box,PutThrough/Blocked Distribution,Corners Taken (incl short corners),Goals from Outside Box,Shots On Target ( inc goals ),Total Fouls Won,Unsuccessful Corners into Box,Tackles Won,Tackles Lost,Attempts from Set Pieces,Aerial Duels lost,Unsuccessful Launches,Yellow Cards,Foul Attempted Tackle,GK Successful Distribution,Catches,GK Unsuccessful Distribution,Substitute On,Offsides,Successful Launches,Blocks,Goals from Inside Box,Through balls,Successful Lay-offs,Saves Made,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Assists (Intentional),Unsuccessful lay-offs,Goal Assists,Goals Conceded Outside Box,Clean Sheets,Total Red Cards,Red Cards - 2nd Yellow,Own Goal Scored,Drops,Left Foot Goals,Second Goal Assists,Handballs conceded,Penalties Taken,Penalty Goals,Foul Won Penalty,Headed Goals,Hit Woodwork,Times Tackled,Winning Goal,Home Goals,Away Goals,Set Pieces Goals,Goal Kicks,Saves made - caught,Punches,Penalty Goals Conceded,Penalties Conceded,Penalties Faced,Saves from Penalty,Penalties Saved,Clearances Off the Line,Goalkeeper Smother,Straight Red Cards,Penalties Off Target,Last Man Tackle,Other Goals,Crosses not Claimed
USA_US_Open_Cup,2019,Colorado Springs Switchbacks FC,8seos5fbgkncxtt4jvu2z6pd5,R. Argueta,Midfielder,6,93.0,39.0,4.0,14.0,13.0,13.0,8.0,39.0,,,24.0,1.0,12.0,12.0,9.0,13.0,1.0,3.0,57.0,1.0,12.0,14.0,10.0,14.0,1.0,1.0,1.0,2.0,9.0,27.0,27.0,4.0,1.0,,,1.0,,4.0,1.0,,1.0,,1.0,,,10.0,3.0,,,,,2.0,10.0,,,,5.0,,1.0,,,,5.0,,3.0,2.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
USA_US_Open_Cup,2019,Colorado Springs Switchbacks FC,2f5x1j9yg8vk1y4kjs11cvt1x,J. Burt,Defender,44,180.0,77.0,12.0,39.0,22.0,25.0,12.0,78.0,1.0,2.0,60.0,1.0,14.0,28.0,11.0,12.0,2.0,5.0,104.0,2.0,9.0,22.0,10.0,14.0,1.0,1.0,2.0,7.0,16.0,63.0,64.0,10.0,3.0,1.0,1.0,1.0,,2.0,2.0,1.0,3.0,2.0,3.0,,4.0,4.0,4.0,,2.0,,2.0,5.0,2.0,1.0,,1.0,,,4.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Colorado Springs Switchbacks FC,71bcwrrg3hbhc25s2ll3dlec5,S. Ceus,Goalkeeper,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Colorado Springs Switchbacks FC,l7gukc5mf4ssq21cpmv879pl,K. Donsu,Forward,44,106.0,37.0,7.0,14.0,20.0,12.0,7.0,37.0,1.0,4.0,21.0,2.0,11.0,8.0,10.0,8.0,1.0,2.0,59.0,2.0,13.0,11.0,10.0,17.0,1.0,2.0,2.0,9.0,11.0,26.0,26.0,10.0,2.0,1.0,,,,4.0,4.0,,5.0,2.0,,,4.0,7.0,5.0,,3.0,1.0,1.0,4.0,4.0,1.0,1.0,,3.0,,,,1.0,1.0,1.0,,1.0,2.0,,1.0,,1.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_US_Open_Cup,2019,Colorado Springs Switchbacks FC,e48fiycudd08bqscbu48u3z3e,L. Dorsey,Forward,0,51.0,12.0,3.0,4.0,10.0,3.0,5.0,12.0,,2.0,7.0,1.0,5.0,3.0,3.0,2.0,,2.0,22.0,2.0,4.0,4.0,10.0,7.0,,1.0,2.0,2.0,2.0,7.0,7.0,4.0,,,,,,,,1.0,1.0,,,,1.0,3.0,,,1.0,,,3.0,2.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_US_Open_Cup,2019,Colorado Springs Switchbacks FC,6ub0we933a19ixnl3l5wt36ui,B. Farmelo,Midfielder,0,4.0,7.0,2.0,5.0,3.0,,2.0,7.0,,,5.0,,2.0,4.0,2.0,1.0,,,8.0,1.0,1.0,1.0,10.0,1.0,,,1.0,1.0,,5.0,5.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Colorado Springs Switchbacks FC,3a63qu65kmj271t6r9kakmlii,L. Hansen,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Colorado Springs Switchbacks FC,8wk3gw9l1o4csxzri1kx0qlbe,L. Hitzeman,Midfielder,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Colorado Springs Switchbacks FC,eiv8bhmhfwk425x3tspucy7zd,M. Hundley,Midfielder,29,169.0,44.0,18.0,18.0,29.0,17.0,9.0,44.0,2.0,1.0,34.0,,10.0,5.0,12.0,8.0,2.0,2.0,91.0,2.0,20.0,14.0,10.0,22.0,2.0,,2.0,8.0,7.0,34.0,34.0,9.0,,3.0,1.0,2.0,1.0,1.0,2.0,7.0,4.0,2.0,2.0,,6.0,13.0,,,1.0,3.0,4.0,2.0,12.0,,,1.0,2.0,1.0,4.0,1.0,,2.0,3.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Colorado Springs Switchbacks FC,c4vss7v8yi62e13rxxnilsgrt,I. Jome,Defender,3,210.0,81.0,9.0,38.0,37.0,36.0,7.0,85.0,,,66.0,2.0,14.0,34.0,22.0,24.0,2.0,6.0,151.0,2.0,13.0,37.0,10.0,13.0,5.0,2.0,2.0,6.0,5.0,68.0,71.0,6.0,4.0,10.0,18.0,1.0,3.0,7.0,,4.0,1.0,5.0,1.0,2.0,1.0,7.0,5.0,,,1.0,14.0,,7.0,,,,3.0,3.0,1.0,8.0,,1.0,,4.0,2.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
