root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Touches,Successful Short Passes,Starts,Blocks,Successful Passes Opposition Half,PutThrough/Blocked Distribution,Appearances,Unsuccessful Passes Own Half,Tackles Lost,Tackles Won,Unsuccessful Short Passes,Total Tackles,Unsuccessful Passes Opposition Half,Ground Duels won,PutThrough/Blocked Distribution Won,Index,Clean Sheets,Games Played,Total Clearances,Total Passes,Total Losses Of Possession,Successful Long Passes,Ground Duels,Rightside Passes,Successful Open Play Passes,Recoveries,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Time Played,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels,Leftside Passes,Forward Passes,Interceptions,Successful Passes Own Half,Unsuccessful Launches,Duels won,Unsuccessful Long Passes,Backward Passes,Winning Goal,Ground Duels lost,GK Unsuccessful Distribution,Goals Conceded,Saves Made from Inside Box,Successful Launches,Duels lost,Goal Kicks,Aerial Duels,Saves Made,Catches,Goals Conceded Outside Box,Saves Made from Outside Box,Drops,Aerial Duels won,Saves made - parried,Punches,Goals Conceded Inside Box,GK Successful Distribution,Substitute On,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Total Touches In Opposition Box,Total Fouls Won,Throw Ins to Own Player,Successful Lay-offs,Unsuccessful Dribbles,Times Tackled,Substitute Off,Foul Attempted Tackle,Total Fouls Conceded,Key Passes (Attempt Assists),Offsides,Aerial Duels lost,Corners Won,Successful Crosses & Corners,Goal Assists,Successful Crosses open play,Assists (Intentional),Successful Dribbles,Overruns,Throw Ins to Opposition Player,Yellow Cards,Handballs conceded,Corners Taken (incl short corners),Right Foot Goals,Unsuccessful Corners into Box,Shots Off Target (inc woodwork),Successful Corners into Box,Attempts from Set Pieces,Shots On Target ( inc goals ),Goals,Goals from Inside Box,Total Shots,Home Goals,Away Goals,Blocked Shots,Through balls,Foul Won Penalty,Penalties Taken,Headed Goals,Unsuccessful lay-offs,Penalty Goals,Left Foot Goals,Goals from Outside Box,Hit Woodwork,Last Player Tackle,Penalties Conceded,Goalkeeper Smother,Saves from Penalty,Penalties Faced,Penalties Saved,Red Cards - 2nd Yellow,Total Red Cards,Second Goal Assists,Penalty Goals Conceded,Clearances Off the Line,Straight Red Cards,Saves made - caught,Penalties Off Target,Own Goal Scored,Crosses not Claimed
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Charlotte FC,Charlotte_FC,8vzvcjbccc5skj9e7n5f6vd3o,P. Agyemang,Forward,33,31.0,10.0,1.0,,9.0,1.0,2.0,,,,4.0,,5.0,1.0,1.0,10.0,,2.0,,15.0,14.0,,10.0,5.0,9.0,4.0,10.0,14.0,97.0,5.0,12.0,4.0,3.0,,1.0,1.0,2.0,1.0,3.0,1.0,9.0,,1.0,,,10.0,,2.0,,,,,,1.0,,,1.0,,1.0,,,7.0,,,1.0,4.0,7.0,1.0,,1.0,,3.0,1.0,1.0,,,,,1.0,,,,,,,,2.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Charlotte FC,Charlotte_FC,1dk0bdadfdnycriqp8u21ulpm,B. Bender,Midfielder,15,25.0,13.0,1.0,,8.0,1.0,1.0,,,,5.0,,5.0,1.0,,10.0,,1.0,1.0,18.0,6.0,,2.0,5.0,12.0,3.0,13.0,17.0,56.0,5.0,3.0,4.0,5.0,1.0,5.0,,2.0,,4.0,0.0,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Charlotte FC,Charlotte_FC,cqx2x7351ie20giqha8hd5djp,D. Bingham,Goalkeeper,22,49.0,13.0,1.0,,2.0,,1.0,5.0,,,1.0,,9.0,,,10.0,1.0,1.0,1.0,36.0,14.0,9.0,,14.0,10.0,13.0,22.0,17.0,90.0,14.0,,5.0,17.0,,20.0,5.0,,13.0,,0.0,,4.0,,3.0,1.0,,11.0,,4.0,1.0,,1.0,,,1.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Charlotte FC,Charlotte_FC,ahsgqqn4mjj7isq2x0fdkl49,B. Bronico,Midfielder,13,76.0,43.0,2.0,2.0,24.0,1.0,2.0,3.0,1.0,,10.0,1.0,11.0,2.0,1.0,10.0,1.0,2.0,4.0,62.0,17.0,5.0,7.0,17.0,46.0,8.0,48.0,60.0,180.0,14.0,7.0,17.0,18.0,1.0,24.0,1.0,2.0,4.0,10.0,0.0,5.0,,1.0,,,5.0,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,2.0,3.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Charlotte FC,Charlotte_FC,2q032302ebdlpcuytftf5vpp1,N. Byrne,Defender,14,74.0,46.0,1.0,,18.0,,1.0,,1.0,,3.0,1.0,8.0,3.0,,10.0,,1.0,1.0,57.0,8.0,4.0,4.0,6.0,49.0,4.0,50.0,56.0,90.0,7.0,7.0,28.0,16.0,1.0,32.0,,3.0,4.0,7.0,0.0,1.0,,1.0,,1.0,4.0,,3.0,,,,,,,,,1.0,,,1.0,1.0,,2.0,8.0,,,,,1.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Charlotte FC,Charlotte_FC,603sxl8xsij9kep03px6s85m2,B. Cambridge,Midfielder,36,5.0,2.0,,,2.0,,1.0,,,,,,1.0,,,10.0,,1.0,,2.0,2.0,,1.0,,2.0,,2.0,2.0,10.0,,2.0,1.0,,,1.0,,1.0,,1.0,0.0,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Charlotte FC,Charlotte_FC,eswivc2a0iwwdly6ft8eh0ogl,B. Dejaegere,Midfielder,10,9.0,4.0,,,3.0,,1.0,,,,,,1.0,1.0,,10.0,,1.0,,4.0,2.0,,2.0,1.0,4.0,,4.0,4.0,17.0,,2.0,2.0,,,1.0,,1.0,,1.0,0.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Charlotte FC,Charlotte_FC,6bg69aksa8wb6wmu7w81is8yy,J. Forbes,Defender,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Charlotte FC,Charlotte_FC,15ara0jd9j49swuwoi7z8pzo5,K. Kahlina,Goalkeeper,1,38.0,24.0,1.0,,,,1.0,1.0,,,,,2.0,,,10.0,,1.0,1.0,28.0,3.0,1.0,,11.0,15.0,6.0,25.0,17.0,90.0,3.0,,13.0,4.0,,25.0,1.0,,3.0,,0.0,,1.0,1.0,2.0,,,4.0,,3.0,,,1.0,,,1.0,,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Charlotte FC,Charlotte_FC,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,Defender,24,45.0,22.0,1.0,,5.0,3.0,1.0,6.0,,,6.0,,4.0,,,10.0,,1.0,2.0,31.0,11.0,1.0,,,21.0,2.0,23.0,29.0,89.0,8.0,1.0,6.0,19.0,1.0,18.0,1.0,1.0,2.0,6.0,0.0,,,,,,,,1.0,,,,,,1.0,,,,,,2.0,2.0,,,7.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
