liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Blocks,Right Foot Goals,Total Red Cards,Straight Red Cards,GK Successful Distribution,Headed Goals,GK Unsuccessful Distribution,Penalties Conceded,Clearances Off the Line,Saves Made,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,Set Pieces Goals,Other Goals,Own Goal Scored,Foul Won Penalty,Penalty Goals Conceded,Second Goal Assists,Red Cards - 2nd Yellow,Penalties Off Target,Last Man Tackle,Penalties Saved,Saves from Penalty,Crosses not Claimed,Home Goals,Away Goals,Winning Goal,Times Tackled
USA_MLS,2017,Vancouver Whitecaps FC,6r7lv7woj3lwr3lynpjkqtwph,C. Bolaños,Midfielder,7,37.0,2.0,1882.0,11.0,3.0,36.0,,694.0,32.0,154.0,34.0,362.0,7.0,,47.0,13.0,15.0,4.0,15.0,372.0,236.0,26.0,134.0,745.0,8.0,15.0,16.0,521.0,28.0,23.0,181.0,10.0,229.0,38.0,254.0,9.0,,95.0,21.0,29.0,26.0,1148.0,50.0,24.0,8.0,147.0,,230.0,47.0,89.0,81.0,8.0,2.0,43.0,12.0,34.0,5.0,20.0,167.0,8.0,32.0,,99.0,24.0,38.0,,1.0,6.0,71.0,132.0,,,539.0,564.0,20.0,2.0,4.0,6.0,,6.0,16.0,86.0,10.0,19.0,76.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2017,Vancouver Whitecaps FC,7t6lyj5pvvgzfscj775acuqc5,M. Bustos,Midfielder,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,Vancouver Whitecaps FC,582uvj0i3dvm0zwbou9q68pgp,A. Davies,Midfielder,67,17.0,3.0,1079.0,5.0,18.0,4.0,,285.0,6.0,69.0,3.0,152.0,5.0,1.0,13.0,17.0,10.0,2.0,19.0,208.0,57.0,32.0,66.0,285.0,6.0,16.0,38.0,196.0,11.0,12.0,79.0,,60.0,13.0,83.0,4.0,1.0,72.0,9.0,28.0,13.0,593.0,,27.0,6.0,177.0,,95.0,41.0,18.0,91.0,2.0,,10.0,3.0,18.0,3.0,29.0,199.0,10.0,13.0,,17.0,27.0,,1.0,1.0,1.0,89.0,61.0,,,206.0,206.0,22.0,1.0,1.0,1.0,,,20.0,108.0,12.0,10.0,88.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,Vancouver Whitecaps FC,f4kk7aprmqxgig9hyyntfgs0l,C. Dean,Defender,22,1.0,,459.0,1.0,1.0,,,254.0,,20.0,2.0,70.0,11.0,1.0,36.0,3.0,1.0,2.0,5.0,70.0,129.0,8.0,29.0,262.0,2.0,4.0,,169.0,10.0,1.0,65.0,,90.0,2.0,45.0,,,29.0,5.0,8.0,21.0,344.0,,6.0,3.0,14.0,,118.0,3.0,36.0,17.0,,,28.0,2.0,1.0,8.0,1.0,27.0,37.0,12.0,,1.0,6.0,,1.0,,,5.0,34.0,,,195.0,197.0,13.0,1.0,,,,,5.0,10.0,3.0,12.0,9.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,Vancouver Whitecaps FC,6ptlu8c7bhohot08t3ycdo3it,Ali Ghazal,Midfielder,66,1.0,,900.0,1.0,,8.0,,302.0,,34.0,,112.0,3.0,1.0,9.0,8.0,5.0,3.0,9.0,72.0,146.0,30.0,39.0,306.0,,21.0,2.0,249.0,10.0,6.0,48.0,,81.0,1.0,31.0,2.0,,72.0,10.0,12.0,18.0,450.0,,10.0,17.0,85.0,,105.0,5.0,45.0,47.0,1.0,,9.0,,10.0,6.0,2.0,100.0,17.0,13.0,,1.0,10.0,,,,,44.0,86.0,,,254.0,258.0,15.0,3.0,,,,,22.0,53.0,8.0,31.0,41.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,Vancouver Whitecaps FC,axfsb5imzg5hgzgyn5w2cqtx,K. Greig,Forward,47,,,2.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,Vancouver Whitecaps FC,8bcbp6dqxvu3vmwm4fuxnrmc5,J. Harvey,Defender,2,25.0,1.0,2563.0,179.0,1.0,2.0,1.0,812.0,7.0,151.0,9.0,339.0,31.0,3.0,83.0,13.0,3.0,8.0,30.0,315.0,312.0,43.0,109.0,834.0,2.0,37.0,4.0,589.0,37.0,7.0,192.0,,251.0,9.0,164.0,1.0,53.0,79.0,28.0,24.0,53.0,1405.0,,29.0,25.0,129.0,,400.0,16.0,38.0,87.0,4.0,,53.0,9.0,22.0,18.0,10.0,177.0,71.0,45.0,1.0,25.0,29.0,,2.0,,1.0,60.0,32.0,1.0,,626.0,642.0,48.0,5.0,,1.0,,,33.0,90.0,10.0,48.0,69.0,7.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,Vancouver Whitecaps FC,5poofr1j8221dhowins42c1jp,E. Hurtado,Midfielder,19,3.0,8.0,523.0,,8.0,9.0,3.0,96.0,2.0,39.0,1.0,58.0,2.0,,2.0,1.0,4.0,,15.0,93.0,20.0,5.0,24.0,103.0,6.0,12.0,8.0,72.0,9.0,9.0,26.0,,26.0,5.0,22.0,1.0,,17.0,7.0,4.0,7.0,223.0,,15.0,1.0,66.0,,15.0,24.0,35.0,29.0,5.0,,5.0,1.0,9.0,10.0,8.0,91.0,10.0,9.0,,3.0,15.0,,1.0,,2.0,47.0,23.0,3.0,,73.0,77.0,25.0,1.0,2.0,2.0,,,3.0,62.0,2.0,1.0,19.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_MLS,2017,Vancouver Whitecaps FC,bjaaf717t6e0mgak9lh42rr9x,B. Ibini-Isei,Forward,7,14.0,1.0,629.0,3.0,10.0,8.0,1.0,154.0,6.0,44.0,1.0,84.0,2.0,,4.0,2.0,7.0,3.0,21.0,74.0,54.0,7.0,20.0,161.0,7.0,5.0,11.0,129.0,9.0,12.0,24.0,,30.0,4.0,30.0,6.0,,46.0,7.0,10.0,8.0,290.0,,17.0,3.0,60.0,1.0,57.0,21.0,100.0,35.0,5.0,,8.0,1.0,13.0,4.0,8.0,85.0,7.0,12.0,1.0,14.0,17.0,,,,1.0,29.0,30.0,,,131.0,137.0,25.0,,,1.0,,,6.0,50.0,1.0,3.0,31.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,Vancouver Whitecaps FC,7zdta8nyi3n06tak4qeykpiad,N. Igiebor,Midfielder,50,,,225.0,,,9.0,,148.0,,27.0,,59.0,,3.0,2.0,,1.0,,1.0,16.0,77.0,9.0,11.0,149.0,2.0,6.0,2.0,129.0,4.0,1.0,13.0,,49.0,2.0,13.0,,,27.0,3.0,,,178.0,,3.0,3.0,24.0,,39.0,,46.0,15.0,,,7.0,,3.0,1.0,,26.0,5.0,4.0,,,3.0,,,,,10.0,34.0,,,135.0,136.0,2.0,,,,,,9.0,11.0,,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
