liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Unsuccessful lay-offs,Successful Short Passes,Successful Crosses & Corners,Overruns,Tackles Lost,Shots Off Target (inc woodwork),Recoveries,Unsuccessful Long Passes,Corners Taken (incl short corners),Backward Passes,Unsuccessful Crosses & Corners,Throw Ins to Opposition Player,Unsuccessful Launches,Total Fouls Won,Goals,Unsuccessful Crosses open play,Yellow Cards,Blocked Shots,Foul Attempted Tackle,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Goals Conceded Inside Box,Games Played,Total Fouls Conceded,Successful Crosses open play,Successful Lay-offs,Total Shots,Times Tackled,Key Passes (Attempt Assists),Substitute Off,Rightside Passes,Duels lost,Tackles Won,Goals Conceded,Right Foot Goals,Total Losses Of Possession,Corners Won,Unsuccessful Short Passes,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Corners into Box,Aerial Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,Ground Duels,Total Passes,Through balls,Shots On Target ( inc goals ),Aerial Duels,Unsuccessful Passes Own Half,Successful Passes Own Half,Leftside Passes,Duels,Open Play Passes,Goal Assists,Interceptions,Successful Open Play Passes,Successful Passes Opposition Half,Starts,Successful Dribbles,Goals from Inside Box,Unsuccessful Passes Opposition Half,Goals Conceded Outside Box,Total Clearances,Ground Duels won,Index,Total Touches In Opposition Box,Time Played,Ground Duels lost,Touches,PutThrough/Blocked Distribution,Duels won,Substitute On,Successful Corners into Box,Aerial Duels won,Total Tackles,Successful Long Passes,Assists (Intentional),Home Goals,Away Goals,Winning Goal,Penalty Goals Conceded,Penalties Conceded,Offsides,Blocks,Hit Woodwork,Clean Sheets,Successful Launches,Goals from Outside Box,Headed Goals,Handballs conceded,Penalty Goals,Penalties Off Target,Attempts from Set Pieces,Penalties Taken,Last Player Tackle,Goal Kicks,GK Successful Distribution,Left Foot Goals,Clearances Off the Line,Saves Made from Inside Box,Saves made - parried,Penalties Faced,Saves Made from Outside Box,Saves made - caught,Goalkeeper Smother,Catches,Drops,Punches,GK Unsuccessful Distribution,Saves Made,Foul Won Penalty,Own Goal Scored,Total Red Cards,Straight Red Cards,Second Goal Assists,Crosses not Claimed,Other Goals,Red Cards - 2nd Yellow,Saves from Penalty,Penalties Saved,Set Pieces Goals
Canada_Canadian_Premier_League,2024,HFX Wanderers FC,9rz8qmfpcpqwldobcnswtn85w,R. Agunbiade,Forward,47,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,,4.0,,,1.0,1.0,,,,,2.0,1.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,1.0,10.0,,6.0,1.0,5.0,,1.0,1.0,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,HFX Wanderers FC,cuanowd354jf2ycubsqwwzkh6,J. Alphonse,Defender,21,17.0,,341.0,,,5.0,3.0,36.0,19.0,,21.0,,,12.0,7.0,,,4.0,,6.0,2.0,10.0,12.0,17.0,9.0,,,3.0,4.0,,1.0,114.0,31.0,13.0,15.0,,52.0,,22.0,151.0,41.0,,10.0,362.0,5.0,53.0,403.0,,,24.0,22.0,264.0,117.0,77.0,386.0,,9.0,347.0,98.0,7.0,7.0,,19.0,3.0,37.0,32.0,10.0,3.0,796.0,21.0,531.0,13.0,46.0,10.0,,14.0,18.0,21.0,,,,0.0,1.0,1.0,,5.0,,1.0,4.0,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,HFX Wanderers FC,am64w1ueohlr85v0nyhe965ii,C. Bayiha,Defender,14,22.0,,315.0,6.0,3.0,5.0,2.0,81.0,9.0,,105.0,19.0,8.0,6.0,24.0,,19.0,1.0,2.0,4.0,23.0,10.0,18.0,22.0,10.0,6.0,5.0,6.0,49.0,6.0,11.0,31.0,89.0,27.0,19.0,,162.0,10.0,47.0,84.0,56.0,,16.0,327.0,53.0,147.0,383.0,3.0,4.0,21.0,21.0,140.0,163.0,168.0,378.0,4.0,14.0,322.0,193.0,15.0,18.0,,54.0,1.0,19.0,74.0,10.0,39.0,1201.0,73.0,700.0,23.0,79.0,7.0,,5.0,32.0,12.0,3.0,,,0.0,1.0,,1.0,3.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Canada_Canadian_Premier_League,2024,HFX Wanderers FC,1afcpd3lls6cqp4wuawc91gwl,L. Callegari,Midfielder,6,25.0,,1408.0,15.0,2.0,16.0,4.0,192.0,46.0,32.0,330.0,34.0,1.0,7.0,27.0,,10.0,4.0,4.0,29.0,11.0,26.0,31.0,25.0,45.0,4.0,30.0,7.0,26.0,32.0,2.0,458.0,116.0,54.0,35.0,,250.0,8.0,114.0,441.0,160.0,13.0,14.0,1519.0,10.0,213.0,1679.0,8.0,3.0,34.0,45.0,787.0,450.0,247.0,1621.0,3.0,47.0,1465.0,747.0,24.0,14.0,,149.0,4.0,20.0,111.0,10.0,8.0,2091.0,102.0,2046.0,38.0,131.0,1.0,8.0,20.0,70.0,111.0,3.0,,,0.0,2.0,,1.0,3.0,,4.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
Canada_Canadian_Premier_League,2024,HFX Wanderers FC,36zaipqgc0wezlywtiyplmdck,T. Ciccarelli,Forward,20,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,1.0,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,HFX Wanderers FC,14fs0a72iixk19mvmqu1noahg,D. Clarke,Goalkeeper,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,HFX Wanderers FC,artfyfgwwhlhvfvttogbtiy38,T. Coimbra,Forward,19,20.0,2.0,80.0,,2.0,2.0,12.0,17.0,4.0,,37.0,1.0,,1.0,4.0,4.0,1.0,3.0,3.0,4.0,14.0,13.0,12.0,20.0,10.0,,11.0,21.0,29.0,5.0,10.0,33.0,65.0,4.0,14.0,,122.0,7.0,53.0,32.0,57.0,,20.0,82.0,1.0,64.0,139.0,,9.0,52.0,9.0,21.0,37.0,116.0,131.0,1.0,5.0,74.0,61.0,10.0,9.0,4.0,49.0,2.0,16.0,19.0,10.0,52.0,796.0,45.0,300.0,19.0,51.0,10.0,,32.0,6.0,2.0,,2.0,2.0,1.0,1.0,,12.0,1.0,1.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,
Canada_Canadian_Premier_League,2024,HFX Wanderers FC,7e4doqzolxn7u9s2txuyclejt,A. Daniels,Forward,10,26.0,1.0,437.0,9.0,4.0,7.0,3.0,57.0,20.0,6.0,135.0,19.0,,6.0,15.0,,14.0,1.0,7.0,6.0,22.0,9.0,22.0,26.0,10.0,5.0,10.0,9.0,46.0,19.0,10.0,131.0,74.0,16.0,26.0,,192.0,6.0,74.0,160.0,94.0,3.0,8.0,468.0,17.0,119.0,562.0,2.0,6.0,15.0,21.0,201.0,136.0,134.0,535.0,1.0,4.0,445.0,276.0,14.0,16.0,,92.0,4.0,9.0,53.0,10.0,20.0,1257.0,66.0,801.0,23.0,60.0,12.0,2.0,7.0,23.0,31.0,1.0,,,0.0,2.0,,,3.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,HFX Wanderers FC,13wkddshf1c9zrygeg7r3s6w9,J. Dunn,Defender,4,10.0,,356.0,,,2.0,3.0,38.0,24.0,,10.0,1.0,,17.0,,,1.0,1.0,,4.0,,,13.0,10.0,5.0,,,4.0,2.0,3.0,1.0,107.0,14.0,8.0,15.0,,69.0,1.0,35.0,153.0,59.0,,7.0,375.0,2.0,21.0,434.0,,1.0,27.0,26.0,302.0,164.0,48.0,424.0,,8.0,367.0,73.0,10.0,4.0,,34.0,2.0,27.0,14.0,10.0,16.0,835.0,7.0,513.0,4.0,34.0,,,20.0,10.0,19.0,,,,0.0,1.0,1.0,,2.0,,1.0,4.0,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,HFX Wanderers FC,5jozq98hwnnywrh5i4kk0erfu,Vitor Dias,Midfielder,11,18.0,,163.0,1.0,,5.0,5.0,35.0,6.0,3.0,48.0,2.0,1.0,1.0,22.0,1.0,1.0,,2.0,4.0,12.0,4.0,6.0,18.0,8.0,1.0,5.0,7.0,30.0,7.0,4.0,41.0,51.0,6.0,9.0,,100.0,5.0,42.0,72.0,48.0,1.0,5.0,172.0,4.0,95.0,220.0,2.0,2.0,11.0,12.0,43.0,59.0,106.0,211.0,1.0,4.0,163.0,130.0,4.0,16.0,1.0,38.0,3.0,1.0,49.0,10.0,32.0,490.0,46.0,364.0,13.0,55.0,14.0,,6.0,11.0,9.0,1.0,1.0,0.0,0.0,,,2.0,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
