liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded Inside Box,Total Passes,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Leftside Passes,Foul Attempted Tackle,Penalty Goals Conceded,Time Played,Ground Duels lost,Times Tackled,Unsuccessful Crosses & Corners,Successful Passes Opposition Half,Substitute Off,Total Tackles,Unsuccessful Short Passes,Open Play Passes,Index,Tackles Won,Ground Duels won,Games Played,Successful Dribbles,Duels,Total Shots,Total Clearances,Total Fouls Won,Blocks,Throw Ins to Own Player,Ground Duels,Rightside Passes,Successful Short Passes,Unsuccessful Crosses open play,Throw Ins to Opposition Player,Recoveries,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Passes Own Half,Appearances,Goals Conceded,Starts,Shots On Target ( inc goals ),Successful Open Play Passes,Forward Passes,Duels won,Duels lost,Touches,Unsuccessful Passes Opposition Half,Winning Goal,Corners Won,Overruns,Through balls,Successful Long Passes,Assists (Intentional),Unsuccessful Corners into Box,Goals,Goal Assists,Penalties Conceded,Penalties Taken,Aerial Duels,Left Foot Goals,Successful Launches,Aerial Duels won,Goal Kicks,Clean Sheets,Penalty Goals,Successful Lay-offs,Goals Conceded Outside Box,Hit Woodwork,Yellow Cards,GK Successful Distribution,Unsuccessful Dribbles,Key Passes (Attempt Assists),Corners Taken (incl short corners),Blocked Shots,Tackles Lost,Attempts from Set Pieces,Unsuccessful Long Passes,Goals from Inside Box,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Backward Passes,Handballs conceded,Unsuccessful Passes Own Half,Goals Openplay,Successful Crosses & Corners,Right Foot Goals,Interceptions,Unsuccessful lay-offs,Unsuccessful Launches,Shots Off Target (inc woodwork),Successful Corners into Box,Successful Crosses open play,Substitute On,Home Goals,Away Goals,Offsides,Other Goals,Second Goal Assists,Red Cards - 2nd Yellow,Total Red Cards,Saves Made from Inside Box,Saves Made,Clearances Off the Line,Punches,Saves Made from Outside Box,Saves made - parried,GK Unsuccessful Distribution,Catches,Goalkeeper Smother,Drops,Penalties Faced,Straight Red Cards,Last Player Tackle,Headed Goals,Own Goal Scored,Goals from Outside Box,Set Pieces Goals,Penalties Saved,Saves from Penalty,Foul Won Penalty,Crosses not Claimed,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved,Direct Setpiece Goals,Penalties Off Target
USA_MLS_Next_Pro,2025,FC Cincinnati 2,537wchdjwoclm8vcaaiyquxas,D. Hurtado,Defender,40,19.0,372.0,20.0,271.0,209.0,96.0,14.0,1.0,1158.0,65.0,27.0,31.0,192.0,7.0,33.0,78.0,369.0,10.0,15.0,55.0,22.0,14.0,137.0,4.0,37.0,8.0,2.0,86.0,120.0,28.0,262.0,31.0,26.0,46.0,24.0,101.0,93.0,22.0,20.0,13.0,,268.0,177.0,69.0,68.0,736.0,101.0,0.0,6.0,1.0,,9.0,1.0,,,1.0,,,17.0,,4.0,14.0,,2.0,,2.0,1.0,,2.0,,15.0,8.0,,1.0,18.0,,23.0,,37.0,3.0,15.0,71.0,,31.0,,14.0,,19.0,,10.0,4.0,,14.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,65.0,65.0,1.0,,,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,1l275l4mj1o6y4ntho7bap016,T. Ikoba,Forward,45,12.0,246.0,27.0,173.0,174.0,68.0,7.0,2.0,1116.0,54.0,29.0,3.0,134.0,11.0,8.0,64.0,242.0,10.0,2.0,34.0,24.0,10.0,147.0,18.0,10.0,17.0,1.0,3.0,88.0,54.0,167.0,3.0,,28.0,41.0,73.0,40.0,24.0,15.0,13.0,11.0,169.0,42.0,66.0,81.0,443.0,67.0,0.0,4.0,2.0,,6.0,1.0,,3.0,2.0,,,59.0,2.0,,32.0,,1.0,,30.0,3.0,,3.0,,9.0,7.0,,3.0,6.0,,9.0,3.0,16.0,27.0,8.0,82.0,2.0,9.0,1.0,1.0,,2.0,5.0,3.0,7.0,,1.0,11.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,87.0,24.0,32.0,1.0,2.0,3.0,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,4uo9isxivewjrtdg9v7lku9zo,S. Jimenez,Midfielder,37,17.0,762.0,36.0,666.0,150.0,210.0,19.0,,1415.0,65.0,18.0,2.0,381.0,7.0,32.0,73.0,744.0,10.0,16.0,60.0,17.0,11.0,150.0,4.0,14.0,17.0,2.0,2.0,125.0,211.0,613.0,2.0,,101.0,11.0,96.0,286.0,17.0,18.0,17.0,3.0,648.0,197.0,76.0,74.0,957.0,71.0,0.0,2.0,,1.0,53.0,,,1.0,1.0,,,25.0,,4.0,16.0,,3.0,,14.0,1.0,,8.0,,8.0,15.0,2.0,4.0,16.0,,23.0,1.0,21.0,9.0,10.0,144.0,,27.0,1.0,1.0,1.0,17.0,,11.0,1.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,59.0,78.0,3.0,,1.0,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,2p7kzoufvblew4wvqvf1sb09g,B. Kristel,Forward,75,2.0,18.0,1.0,10.0,19.0,6.0,1.0,1.0,37.0,7.0,6.0,2.0,8.0,,1.0,5.0,18.0,10.0,,2.0,6.0,1.0,10.0,,2.0,,,,9.0,4.0,10.0,2.0,,1.0,3.0,8.0,2.0,6.0,2.0,,,10.0,6.0,3.0,7.0,34.0,9.0,0.0,2.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,1.0,,3.0,,2.0,,,2.0,,1.0,,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,6.0,,,,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,cv05cz78z9nsbgj98hnw7o4yc,W. Kuisel,Defender,60,25.0,597.0,19.0,474.0,207.0,34.0,13.0,3.0,1444.0,50.0,14.0,26.0,268.0,10.0,54.0,92.0,581.0,10.0,31.0,65.0,22.0,9.0,133.0,4.0,43.0,2.0,5.0,76.0,115.0,212.0,452.0,25.0,26.0,69.0,16.0,123.0,211.0,22.0,28.0,16.0,2.0,459.0,218.0,79.0,54.0,938.0,115.0,1.0,4.0,2.0,,22.0,1.0,,1.0,1.0,,,18.0,1.0,3.0,14.0,8.0,3.0,,,3.0,,1.0,8.0,6.0,9.0,,3.0,23.0,,31.0,1.0,39.0,4.0,21.0,133.0,,34.0,1.0,5.0,,10.0,,18.0,2.0,,5.0,6.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,121.0,74.0,72.0,1.0,,1.0,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,3m5xry5gd78jme4s53wak72tw,D. Lester,Defender,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,2rwf5uxmyd0sgdkd9j06hpyxg,J. Lester,Forward,86,2.0,11.0,,8.0,8.0,1.0,,,53.0,2.0,2.0,,4.0,1.0,,2.0,8.0,10.0,,,2.0,,2.0,,1.0,,,2.0,2.0,3.0,8.0,,,,,3.0,4.0,2.0,2.0,1.0,,5.0,2.0,,2.0,20.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,5.0,,1.0,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,4eh46qse8ocmutobremniuolw,C. Locker,Midfielder,63,16.0,306.0,14.0,228.0,147.0,64.0,10.0,1.0,1107.0,69.0,35.0,6.0,164.0,6.0,19.0,70.0,301.0,10.0,17.0,35.0,24.0,8.0,134.0,14.0,20.0,8.0,2.0,1.0,104.0,66.0,214.0,4.0,,37.0,26.0,78.0,68.0,24.0,20.0,9.0,7.0,223.0,119.0,44.0,90.0,502.0,56.0,1.0,4.0,1.0,,14.0,1.0,1.0,3.0,1.0,,,30.0,,1.0,9.0,,1.0,,5.0,4.0,,1.0,,24.0,14.0,2.0,4.0,2.0,,8.0,3.0,25.0,21.0,16.0,57.0,,28.0,3.0,4.0,3.0,9.0,,3.0,7.0,,4.0,15.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,27.0,35.0,2.0,,1.0,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,bm2vp4mq94myce80pa3lnshxx,E. Louro,Goalkeeper,13,1.0,18.0,,6.0,12.0,,,,90.0,,,,5.0,,,,11.0,10.0,,,1.0,,,,3.0,,,,,1.0,1.0,,,9.0,,12.0,1.0,1.0,2.0,1.0,,5.0,17.0,,,29.0,10.0,1.0,,,,5.0,,,,,,,,,5.0,,1.0,,,,1.0,,,5.0,,,,,,,12.0,,,,,,,2.0,,,,,,8.0,,,,,,,,,,,,3.0,3.0,,,,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,,2.0,,2.0,,,,,,
USA_MLS_Next_Pro,2025,FC Cincinnati 2,8za8xvdiyduedk2i99bdqv4es,J. Machado,Defender,48,3.0,31.0,,24.0,10.0,7.0,,1.0,62.0,3.0,1.0,,10.0,,2.0,2.0,30.0,10.0,2.0,2.0,4.0,,7.0,,4.0,,1.0,1.0,5.0,6.0,20.0,,,4.0,,7.0,14.0,4.0,3.0,,,23.0,14.0,4.0,3.0,46.0,5.0,0.0,,1.0,,4.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,5.0,,1.0,,1.0,4.0,,2.0,,,,1.0,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,3.0,,,,,,
