liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Starts,Substitute Off,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Corners Won,Overruns,Substitute On,Successful Dribbles,Throw Ins to Own Player,Total Big Chances Created,Throw Ins to Opposition Player,Handballs conceded,Penalties Conceded,Shots Off Target (inc woodwork),Total Shots,Unsuccessful Dribbles,Goals,Goals Openplay,Goals from Inside Box,Hit Woodwork,Offsides,Right Foot Goals,Shots On Target ( inc goals ),Total Big Chances Missed,Unsuccessful lay-offs,Home Goals,Away Goals,Assists (Intentional),Corners Taken (incl short corners),Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Through balls,Unsuccessful Corners into Box,Red Cards - 2nd Yellow,Total Red Cards,GK Successful Distribution,Goal Kicks,Total Big Chances Saved,Left Foot Goals,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Total Big Chances Scored,Penalties Taken,Penalty Goals,Successful Corners into Box,Attempts from Set Pieces,Second Goal Assists,Foul Won Penalty,Goals Conceded Outside Box,Goals from Outside Box,Own Goal Scored,Last Player Tackle,Headed Goals,Direct Setpiece Goals,Set Pieces Goals,Clearances Off the Line,Crosses not Claimed,Goalkeeper Smother,Straight Red Cards,Penalties Off Target,Penalties Saved,Saves from Penalty,Other Goals
USA_USL_Championship,2026,Detroit City FC,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,Defender,30,46.0,23.0,23.0,8.0,26.0,1.0,9.0,99.0,4.0,79.0,40.0,39.0,17.0,167.0,3.0,8.0,7.0,5.0,33.0,17.0,16.0,5.0,3.0,126.0,396.0,,52.0,4.0,1.0,28.0,90.0,4.0,8.0,,5.0,1.0,17.0,327.0,86.0,253.0,322.0,2.0,3.0,720.0,2.0,55.0,13.0,11.0,76.0,409.0,339.0,5.0,8.0,70.0,525.0,1.0,1.0,27.0,40.0,50.0,21.0,30.0,,0.0,1.0,,,,2.0,1.0,,,,2.0,2.0,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,
USA_USL_Championship,2026,Detroit City FC,9irc1xmfpa2395qef78rfyjje,J. Cedeño,Midfielder,10,13.0,9.0,4.0,7.0,45.0,3.0,,68.0,,48.0,25.0,23.0,96.0,43.0,2.0,7.0,5.0,3.0,35.0,16.0,19.0,2.0,12.0,66.0,165.0,,36.0,8.0,5.0,23.0,14.0,12.0,7.0,6.0,1.0,4.0,7.0,130.0,88.0,49.0,126.0,,1.0,523.0,9.0,4.0,3.0,17.0,63.0,168.0,133.0,1.0,15.0,35.0,258.0,3.0,3.0,2.0,4.0,26.0,12.0,31.0,,0.0,6.0,2.0,,1.0,6.0,2.0,,1.0,,7.0,9.0,5.0,,,,,1.0,,2.0,,,,,,2.0,,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
USA_USL_Championship,2026,Detroit City FC,dks0ibq4b4i2w3bcc05v8rhn8,A. Dalou,Forward,15,4.0,3.0,1.0,4.0,14.0,,,19.0,,13.0,8.0,5.0,24.0,10.0,1.0,4.0,,,9.0,5.0,4.0,1.0,1.0,10.0,42.0,,13.0,2.0,1.0,9.0,8.0,1.0,1.0,1.0,,2.0,,35.0,23.0,12.0,35.0,,2.0,95.0,2.0,1.0,3.0,1.0,20.0,42.0,35.0,2.0,3.0,7.0,69.0,3.0,3.0,1.0,3.0,8.0,2.0,4.0,1.0,0.0,,1.0,3.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Detroit City FC,7o3vvz5w2ftz08ba23b79mgkq,A. Diop,Midfielder,8,17.0,10.0,7.0,8.0,28.0,3.0,1.0,41.0,,57.0,31.0,26.0,49.0,42.0,10.0,8.0,4.0,3.0,40.0,21.0,19.0,5.0,2.0,28.0,135.0,,26.0,6.0,2.0,15.0,40.0,2.0,5.0,4.0,1.0,1.0,4.0,106.0,64.0,46.0,105.0,1.0,7.0,424.0,5.0,3.0,14.0,8.0,55.0,138.0,109.0,8.0,4.0,29.0,211.0,2.0,2.0,4.0,7.0,22.0,9.0,22.0,3.0,0.0,1.0,,3.0,3.0,,,,,,1.0,1.0,3.0,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
USA_USL_Championship,2026,Detroit City FC,1cqnjzgntshx2ag3crh0p2uzu,A. Diouf,Forward,32,30.0,18.0,12.0,8.0,38.0,6.0,1.0,97.0,2.0,111.0,65.0,46.0,154.0,38.0,8.0,8.0,6.0,4.0,81.0,47.0,34.0,6.0,6.0,14.0,134.0,,48.0,6.0,4.0,24.0,45.0,8.0,7.0,3.0,1.0,,1.0,100.0,78.0,27.0,100.0,1.0,6.0,646.0,26.0,13.0,19.0,21.0,93.0,135.0,101.0,7.0,37.0,34.0,294.0,11.0,7.0,1.0,2.0,38.0,7.0,32.0,3.0,0.0,8.0,,1.0,6.0,2.0,,,3.0,,11.0,15.0,15.0,,,,1.0,5.0,,4.0,1.0,1.0,,,2.0,6.0,2.0,4.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,2.0,,,,,,,,,,,,,,
USA_USL_Championship,2026,Detroit City FC,5x2ikt0pzitdfi9dpxy5lyzft,C. Egbuchulam,Forward,26,9.0,7.0,2.0,6.0,7.0,1.0,,3.0,,18.0,13.0,5.0,23.0,11.0,1.0,6.0,2.0,1.0,9.0,6.0,3.0,,1.0,4.0,31.0,,3.0,4.0,3.0,4.0,9.0,1.0,1.0,1.0,,3.0,,18.0,13.0,5.0,18.0,,2.0,189.0,4.0,1.0,4.0,1.0,21.0,31.0,18.0,2.0,12.0,13.0,55.0,1.0,1.0,,1.0,11.0,3.0,12.0,1.0,0.0,1.0,,5.0,,,,,,,2.0,5.0,2.0,2.0,2.0,2.0,,,1.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
USA_USL_Championship,2026,Detroit City FC,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,Midfielder,22,13.0,7.0,6.0,8.0,72.0,4.0,1.0,95.0,3.0,43.0,23.0,20.0,155.0,135.0,2.0,8.0,6.0,4.0,30.0,16.0,14.0,7.0,17.0,108.0,362.0,,41.0,11.0,4.0,33.0,88.0,18.0,8.0,3.0,,4.0,33.0,307.0,172.0,179.0,307.0,1.0,3.0,692.0,11.0,2.0,3.0,3.0,113.0,403.0,340.0,4.0,7.0,63.0,525.0,28.0,7.0,5.0,30.0,80.0,11.0,33.0,,0.0,6.0,1.0,,7.0,4.0,4.0,,,,4.0,7.0,5.0,,,,1.0,1.0,,3.0,,,,,,24.0,1.0,11.0,2.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,6.0,2.0,,,2.0,,,,,,,,,,,,,,
USA_USL_Championship,2026,Detroit City FC,974nt2pay3nvbe8uyzx0qdhxw,C. Herrera,Goalkeeper,1,3.0,,3.0,8.0,,,,27.0,4.0,10.0,,10.0,,135.0,,8.0,7.0,5.0,7.0,,7.0,,,59.0,153.0,,5.0,,,65.0,53.0,,8.0,,8.0,,42.0,117.0,13.0,145.0,116.0,,,720.0,,5.0,,7.0,91.0,247.0,158.0,,,89.0,315.0,,,47.0,86.0,66.0,23.0,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,40.0,3.0,,11.0,2.0,20.0,,2.0,16.0,10.0,6.0,1.0,4.0,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,
USA_USL_Championship,2026,Detroit City FC,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,Defender,20,7.0,2.0,5.0,6.0,7.0,,1.0,27.0,,10.0,3.0,7.0,10.0,29.0,1.0,6.0,2.0,2.0,3.0,1.0,2.0,,1.0,41.0,79.0,,9.0,2.0,,6.0,8.0,1.0,1.0,1.0,,,4.0,64.0,16.0,54.0,66.0,1.0,1.0,107.0,,7.0,1.0,,21.0,85.0,70.0,2.0,3.0,15.0,113.0,,,3.0,5.0,11.0,4.0,10.0,,0.0,1.0,,5.0,,7.0,,3.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
USA_USL_Championship,2026,Detroit City FC,2x500ds4ke374qi3jcpdi1wtm,C. Montgomery,Defender,4,42.0,12.0,30.0,8.0,25.0,,7.0,70.0,4.0,58.0,19.0,39.0,21.0,158.0,1.0,8.0,6.0,4.0,16.0,7.0,9.0,5.0,3.0,55.0,333.0,,36.0,2.0,1.0,20.0,116.0,3.0,7.0,1.0,1.0,,16.0,258.0,67.0,211.0,262.0,,4.0,645.0,1.0,53.0,5.0,5.0,81.0,354.0,278.0,4.0,14.0,76.0,454.0,,,19.0,32.0,47.0,29.0,44.0,,0.0,,,1.0,,,,,,,6.0,8.0,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
